date,game_pk,away,home,market,entity,player_id,line,side,proj,price,ts,board,ev,actual,err,settle,units
2026-08-16,822940,BAL,TB,ML,BAL,,,BAL,0.468,126,2026-08-16T15:30:00Z,,,8,7.532,W,1.26
2026-08-16,822940,BAL,TB,TOTAL,BAL@TB,,7.5,Over,8.092,-100,2026-08-16T15:30:00Z,,,12,3.908,W,1.0
2026-08-16,823344,BOS,PIT,ML,BOS,,,BOS,0.282,-111,2026-08-16T15:30:00Z,,,-5,-5.282,L,-1.0
2026-08-16,823344,BOS,PIT,TOTAL,BOS@PIT,,7.5,Over,9.118,-139,2026-08-16T15:30:00Z,,,11,1.882,W,0.7194
2026-08-16,824880,AZ,ATL,ML,AZ,,,AZ,0.19,112,2026-08-16T15:30:00Z,,,-2,-2.19,L,-1.0
2026-08-16,824880,AZ,ATL,TOTAL,AZ@ATL,,9.5,Under,8.403,-145,2026-08-16T15:30:00Z,,,8,-0.403,W,0.6897
2026-08-16,822774,NYY,TOR,ML,TOR,,,TOR,0.077,-121,2026-08-16T15:30:00Z,,,-1,-1.077,L,-1.0
2026-08-16,822774,NYY,TOR,TOTAL,NYY@TOR,,6.5,Over,7.063,-115,2026-08-16T15:30:00Z,,,7,-0.063,W,0.8696
2026-08-16,823590,WSH,NYM,ML,NYM,,,NYM,0.659,-164,2026-08-16T15:30:00Z,,,1,0.341,W,0.6098
2026-08-16,823590,WSH,NYM,TOTAL,WSH@NYM,,8.5,Over,8.573,-105,2026-08-16T15:30:00Z,,,7,-1.573,L,-1.0
2026-08-16,824397,SD,CLE,ML,SD,,,SD,0.625,-111,2026-08-16T15:30:00Z,,,5,4.375,W,0.9009
2026-08-16,824397,SD,CLE,TOTAL,SD@CLE,,8.5,Under,7.898,-123,2026-08-16T15:30:00Z,,,5,-2.898,W,0.813
2026-08-16,824236,CWS,DET,ML,CWS,,,CWS,0.506,102,2026-08-16T15:30:00Z,,,2,1.494,W,1.02
2026-08-16,824236,CWS,DET,TOTAL,CWS@DET,,8.5,Under,7.926,-130,2026-08-16T15:30:00Z,,,12,4.074,L,-1.0
2026-08-16,824477,MIA,CIN,ML,MIA,,,MIA,0.248,-121,2026-08-16T15:30:00Z,,,6,5.752,W,0.8264
2026-08-16,824477,MIA,CIN,TOTAL,MIA@CIN,,8.5,Under,8.494,-105,2026-08-16T15:30:00Z,,,8,-0.494,W,0.9524
2026-08-16,823670,PHI,MIN,ML,PHI,,,PHI,0.136,-106,2026-08-16T15:30:00Z,,,2,1.864,W,0.9434
2026-08-16,823670,PHI,MIN,TOTAL,PHI@MIN,,9.5,Under,8.507,-120,2026-08-16T15:30:00Z,,,12,3.493,L,-1.0
2026-08-16,824642,STL,CHC,ML,CHC,,,CHC,0.294,-175,2026-08-16T15:30:00Z,,,-7,-7.294,L,-1.0
2026-08-16,824642,STL,CHC,TOTAL,STL@CHC,,9.5,Under,8.921,-150,2026-08-16T15:30:00Z,,,15,6.079,L,-1.0
2026-08-16,823182,COL,SF,ML,COL,,,COL,0.518,114,2026-08-16T15:30:00Z,,,6,5.482,W,1.14
2026-08-16,823182,COL,SF,TOTAL,COL@SF,,8.5,Under,7.676,-136,2026-08-16T15:30:00Z,,,20,12.324,L,-1.0
2026-08-16,824965,TEX,ATH,ML,ATH,,,ATH,0.735,118,2026-08-16T15:30:00Z,,,3,2.265,W,1.18
2026-08-16,824965,TEX,ATH,TOTAL,TEX@ATH,,10.5,Under,9.626,-144,2026-08-16T15:30:00Z,,,7,-2.626,W,0.6944
2026-08-16,823991,KC,LAA,ML,KC,,,KC,0.118,-115,2026-08-16T15:30:00Z,,,3,2.882,W,0.8696
2026-08-16,823991,KC,LAA,TOTAL,KC@LAA,,8.5,Over,8.792,-120,2026-08-16T15:30:00Z,,,3,-5.792,L,-1.0
2026-08-16,823912,MIL,LAD,ML,LAD,,,LAD,0.173,-180,2026-08-16T15:30:00Z,,,-4,-4.173,L,-1.0
