date,game_pk,away,home,market,entity,player_id,line,side,proj,price,ts,board,ev,actual,err,settle,units
2026-08-12,823672,BAL,MIN,ML,BAL,,,BAL,0.40125,-104,2026-08-12T17:11:00Z,,,-2,-2.401,L,-1.0
2026-08-12,823672,BAL,MIN,TOTAL,BAL@MIN,,9.0,Under,7.83225,,2026-08-12T17:11:00Z,,,12,4.168,L,0.0
2026-08-12,823017,PHI,STL,ML,PHI,,,PHI,1.07831,-163,2026-08-12T17:11:00Z,,,-6,-7.078,L,-1.0
2026-08-12,823017,PHI,STL,TOTAL,PHI@STL,,8.0,Under,7.39398,,2026-08-12T17:11:00Z,,,8,0.606,P,0.0
2026-08-12,824967,TB,ATH,ML,TB,,,TB,0.88255,-225,2026-08-12T17:11:00Z,,,4,3.117,W,0.4444
2026-08-12,824967,TB,ATH,TOTAL,TB@ATH,,9.5,Under,9.34829,,2026-08-12T17:11:00Z,,,12,2.652,L,0.0
2026-08-12,825047,COL,AZ,ML,COL,,,COL,0.12157,149,2026-08-12T17:11:00Z,,,2,1.878,W,1.49
2026-08-12,825047,COL,AZ,TOTAL,COL@AZ,,9.0,Over,9.22203,,2026-08-12T17:11:00Z,,,10,0.778,W,0.0
2026-08-12,823187,HOU,SF,ML,HOU,,,HOU,0.59026,-148,2026-08-12T17:11:00Z,,,1,0.41,W,0.6757
2026-08-12,823187,HOU,SF,TOTAL,HOU@SF,,8.5,Over,9.07154,,2026-08-12T17:11:00Z,,,3,-6.072,L,0.0
2026-08-12,823263,MIL,SD,ML,MIL,,,MIL,0.08991,-115,2026-08-12T17:11:00Z,,,-1,-1.09,L,-1.0
2026-08-12,823263,MIL,SD,TOTAL,MIL@SD,,8.0,Over,8.16218,,2026-08-12T17:11:00Z,,,7,-1.162,L,0.0
2026-08-12,824241,CLE,DET,ML,DET,,,DET,0.01732,-123,2026-08-12T17:11:00Z,,,-2,-2.017,L,-1.0
2026-08-12,824241,CLE,DET,TOTAL,CLE@DET,,8.0,Over,8.07732,,2026-08-12T17:11:00Z,,,10,1.923,W,0.0
2026-08-12,823833,PIT,MIA,ML,MIA,,,MIA,0.0609,-111,2026-08-12T17:11:00Z,,,6,5.939,W,0.9009
2026-08-12,823833,PIT,MIA,TOTAL,PIT@MIA,,8.0,Over,8.58115,,2026-08-12T17:11:00Z,,,10,1.419,W,0.0
2026-08-12,822698,CHC,WSH,ML,CHC,,,CHC,0.47009,-160,2026-08-12T17:11:00Z,,,6,5.53,W,0.625
2026-08-12,822698,CHC,WSH,TOTAL,CHC@WSH,,9.5,Under,8.77009,,2026-08-12T17:11:00Z,,,18,9.23,L,0.0
2026-08-12,823511,SEA,NYY,ML,NYY,,,NYY,0.04426,-128,2026-08-12T17:11:00Z,,,5,4.956,W,0.7812
2026-08-12,823511,SEA,NYY,TOTAL,SEA@NYY,,8.5,Under,7.64405,,2026-08-12T17:11:00Z,,,15,7.356,L,0.0
2026-08-12,822779,BOS,TOR,ML,BOS,,,BOS,0.99666,-120,2026-08-12T17:11:00Z,,,-2,-2.997,L,-1.0
2026-08-12,822779,BOS,TOR,TOTAL,BOS@TOR,,7.0,Over,7.427,,2026-08-12T17:11:00Z,,,10,2.573,W,0.0
2026-08-12,824883,NYM,ATL,ML,ATL,,,ATL,0.18814,-173,2026-08-12T17:11:00Z,,,3,2.812,W,0.578
