date,game_pk,away,home,market,entity,player_id,line,side,proj,price,ts,board,ev,actual,err,settle,units
2026-08-13,823829,PIT,MIA,BB,Braxton Ashcraft,,1.5,Over,1.6148,138,2026-08-13T15:05:00Z,,,1,-0.615,L,-1.0
2026-08-13,823829,PIT,MIA,ER,Braxton Ashcraft,,2.5,Over,2.73097,130,2026-08-13T15:05:00Z,,,1,-1.731,L,-1.0
2026-08-13,823829,PIT,MIA,K,Tyler Phillips,,3.5,Over,3.86557,-148,2026-08-13T15:05:00Z,,,6,2.134,W,0.6757
2026-08-13,823829,PIT,MIA,BB,Tyler Phillips,,1.5,Over,2.01541,118,2026-08-13T15:05:00Z,,,1,-1.015,L,-1.0
2026-08-13,823829,PIT,MIA,ER,Tyler Phillips,,1.5,Over,2.54854,-167,2026-08-13T15:05:00Z,,,4,1.451,W,0.5988
2026-08-13,823508,SEA,NYY,K,Logan Gilbert,,6.5,Over,7.26999,-149,2026-08-13T15:05:00Z,,,7,-0.27,W,0.6711
2026-08-13,823508,SEA,NYY,BB,Logan Gilbert,,1.5,Over,1.75413,101,2026-08-13T15:05:00Z,,,1,-0.754,L,-1.0
2026-08-13,823508,SEA,NYY,ER,Logan Gilbert,,2.5,Under,2.32623,-140,2026-08-13T15:05:00Z,,,0,-2.326,W,0.7143
2026-08-13,823508,SEA,NYY,K,Max Fried,,5.5,Over,5.87922,-140,2026-08-13T15:05:00Z,,,4,-1.879,L,-1.0
2026-08-13,823508,SEA,NYY,BB,Max Fried,,1.5,Over,1.68997,-133,2026-08-13T15:05:00Z,,,2,0.31,W,0.7519
2026-08-13,823508,SEA,NYY,ER,Max Fried,,1.5,Over,1.92937,-140,2026-08-13T15:05:00Z,,,1,-0.929,L,-1.0
2026-08-13,824561,CIN,CWS,K,Andrew Abbott,,4.5,Over,4.66094,-139,2026-08-13T15:05:00Z,,,3,-1.661,L,-1.0
2026-08-13,824561,CIN,CWS,ER,Andrew Abbott,,2.5,Under,2.49419,-115,2026-08-13T15:05:00Z,,,5,2.506,L,-1.0
2026-08-13,824561,CIN,CWS,K,Davis Martin,,4.5,Over,5.86492,-125,2026-08-13T15:05:00Z,,,3,-2.865,L,-1.0
2026-08-13,824561,CIN,CWS,ER,Davis Martin,,1.5,Over,2.85255,-160,2026-08-13T15:05:00Z,,,3,0.147,W,0.625
2026-08-13,822776,BOS,TOR,K,Payton Tolle,,5.5,Over,5.52211,-114,2026-08-13T15:05:00Z,,,4,-1.522,L,-1.0
2026-08-13,822776,BOS,TOR,BB,Payton Tolle,,1.5,Under,1.42076,-169,2026-08-13T15:05:00Z,,,2,0.579,L,-1.0
2026-08-13,822776,BOS,TOR,ER,Payton Tolle,,1.5,Over,1.83661,-155,2026-08-13T15:05:00Z,,,0,-1.837,L,-1.0
2026-08-13,822776,BOS,TOR,K,Max Scherzer,,4.5,Under,3.67938,-165,2026-08-13T15:05:00Z,,,4,0.321,W,0.6061
2026-08-13,822776,BOS,TOR,BB,Max Scherzer,,1.5,Over,2.1711,106,2026-08-13T15:05:00Z,,,2,-0.171,W,1.06
2026-08-13,822776,BOS,TOR,ER,Max Scherzer,,2.5,Under,2.47563,-135,2026-08-13T15:05:00Z,,,1,-1.476,W,0.7407
2026-08-13,822696,CHC,WSH,K,Kevin Gausman,,4.5,Over,4.92041,-151,2026-08-13T15:05:00Z,,,7,2.08,W,0.6623
2026-08-13,822696,CHC,WSH,BB,Kevin Gausman,,1.5,Under,1.32423,-123,2026-08-13T15:05:00Z,,,1,-0.324,W,0.813
