date,game_pk,away,home,market,entity,player_id,line,side,proj,price,ts,board,ev,actual,err,settle,units
2026-08-21,823746,ATL,MIL,ML,MIL,,,MIL,0.47,-139,2026-08-21T18:21:00Z,,,1,0.53,W,0.7194
2026-08-21,823746,ATL,MIL,TOTAL,ATL@MIL,,5.5,Over,6.444,-123,2026-08-21T18:21:00Z,,,3,-3.444,L,-1.0
2026-08-21,823420,STL,PHI,ML,PHI,,,PHI,1.125,-265,2026-08-21T18:21:00Z,,,1,-0.125,W,0.3774
2026-08-21,823420,STL,PHI,TOTAL,STL@PHI,,8.5,Under,7.851,-126,2026-08-21T18:21:00Z,,,13,5.149,L,-1.0
2026-08-21,823510,TOR,NYY,ML,NYY,,,NYY,1.134,-200,2026-08-21T18:21:00Z,,,2,0.866,W,0.5
2026-08-21,823510,TOR,NYY,TOTAL,TOR@NYY,,6.5,Over,7.285,-150,2026-08-21T18:21:00Z,,,4,-3.285,L,-1.0
2026-08-21,824721,SF,BOS,ML,BOS,,,BOS,0.442,-177,2026-08-21T18:21:00Z,,,2,1.558,W,0.565
2026-08-21,824721,SF,BOS,TOTAL,SF@BOS,,7.5,Over,7.536,-100,2026-08-21T18:21:00Z,,,10,2.464,W,1.0
2026-08-21,823830,WSH,MIA,ML,MIA,,,MIA,0.522,-146,2026-08-21T18:21:00Z,,,1,0.478,W,0.6849
2026-08-21,823830,WSH,MIA,TOTAL,WSH@MIA,,7.5,Over,8.72,-115,2026-08-21T18:21:00Z,,,5,-3.72,L,-1.0
2026-08-21,824800,TB,BAL,ML,BAL,,,BAL,0.529,-125,2026-08-21T18:21:00Z,,,2,1.471,W,0.8
2026-08-21,824800,TB,BAL,TOTAL,TB@BAL,,7.5,Over,8.133,-118,2026-08-21T18:21:00Z,,,8,-0.133,W,0.8475
2026-08-21,824559,NYM,CWS,ML,CWS,,,CWS,0.363,-140,2026-08-21T18:21:00Z,,,2,1.637,W,0.7143
2026-08-21,824559,NYM,CWS,TOTAL,NYM@CWS,,7.5,Over,8.294,-125,2026-08-21T18:21:00Z,,,10,1.706,W,0.8
