date,game_pk,away,home,market,entity,player_id,line,side,proj,price,ts,board,ev,actual,err,settle,units
2026-08-19,823342,DET,PIT,ML,PIT,,,PIT,0.491,-157,2026-08-19T16:30:00Z,,,1,0.509,W,0.6369
2026-08-19,823342,DET,PIT,TOTAL,DET@PIT,,7.5,Over,8.025,-137,2026-08-19T16:30:00Z,,,7,-1.025,L,-1.0
2026-08-19,823587,SD,NYM,ML,SD,,,SD,0.554,-137,2026-08-19T16:30:00Z,,,-2,-2.554,L,-1.0
2026-08-19,823587,SD,NYM,TOTAL,SD@NYM,,8.5,Under,8.256,-105,2026-08-19T16:30:00Z,,,6,-2.256,W,0.9524
2026-08-19,823664,ATL,MIN,ML,MIN,,,MIN,0.064,-101,2026-08-19T16:30:00Z,,,2,1.936,W,0.9901
2026-08-19,823664,ATL,MIN,TOTAL,ATL@MIN,,8.5,Over,8.602,-117,2026-08-19T16:30:00Z,,,10,1.398,W,0.8547
2026-08-19,824640,CWS,CHC,ML,CHC,,,CHC,0.692,-143,2026-08-19T16:30:00Z,,,-3,-3.692,L,-1.0
2026-08-19,824640,CWS,CHC,TOTAL,CWS@CHC,,7.5,Over,8.175,-112,2026-08-19T16:30:00Z,,,3,-5.175,L,-1.0
2026-08-19,824722,AZ,BOS,ML,BOS,,,BOS,0.335,-160,2026-08-19T16:30:00Z,,,-1,-1.335,L,-1.0
2026-08-19,824722,AZ,BOS,TOTAL,AZ@BOS,,8.5,Under,7.056,-128,2026-08-19T16:30:00Z,,,13,5.944,L,-1.0
2026-08-19,823342,DET,PIT,TT,DET,,3.5,Under,-0.04038,-115,2026-08-19T16:30:00Z,,,3,3.04,W,0.8696
2026-08-19,823342,DET,PIT,TT,PIT,,4.5,Over,0.7747,104,2026-08-19T16:30:00Z,,,4,3.225,L,-1.0
2026-08-19,823587,SD,NYM,TT,SD,,4.5,Over,0.27554,-110,2026-08-19T16:30:00Z,,,2,1.724,L,-1.0
2026-08-19,823587,SD,NYM,TT,NYM,,3.5,Under,-0.19624,-100,2026-08-19T16:30:00Z,,,4,4.196,L,-1.0
2026-08-19,823664,ATL,MIN,TT,ATL,,4.5,Over,0.09831,-100,2026-08-19T16:30:00Z,,,4,3.902,L,-1.0
2026-08-19,823664,ATL,MIN,TT,MIN,,3.5,Over,0.15678,-148,2026-08-19T16:30:00Z,,,6,5.843,W,0.6757
2026-08-19,824640,CWS,CHC,TT,CWS,,3.5,Over,0.05037,-105,2026-08-19T16:30:00Z,,,3,2.95,L,-1.0
