date,game_pk,away,home,market,entity,player_id,line,side,proj,price,ts,actual,err,settle,units
2026-08-10,824969,TB,ATH,ER,Freddy Peralta (TB),,2.5,O,2.68,105,2026-08-11T01:16:55+00:00,3,0.32,W,1.05
2026-08-10,823018,PHI,STL,K,Andrew Painter (PHI),,3.5,O,4.25,130,2026-08-10T20:08:03+00:00,6,1.75,W,1.3
2026-08-10,823018,PHI,STL,BB,Andrew Painter (PHI),,1.5,O,1.82,-115,2026-08-10T20:08:03+00:00,3,1.18,W,0.8696
2026-08-10,823018,PHI,STL,ER,Andrew Painter (PHI),,2.5,O,2.74,-110,2026-08-10T20:08:03+00:00,2,-0.74,L,-1.0
2026-08-10,825048,COL,ARI,K,Michael Soroka (ARI),,4.5,O,5.58,114,2026-08-11T01:16:55+00:00,4,-1.58,L,-1.0
2026-08-10,825048,COL,ARI,BB,Michael Soroka (ARI),,1.5,U,1.24,,2026-08-11T01:16:55+00:00,3,1.76,L,0.0
2026-08-10,825048,COL,ARI,ER,Michael Soroka (ARI),,1.5,O,2.31,-124,2026-08-11T01:16:55+00:00,0,-2.31,L,-1.0
2026-08-10,823265,MIL,SD,K,Casey Mize (SD),,4.5,O,5.37,-137,2026-08-11T01:16:55+00:00,6,0.63,W,0.7299
2026-08-10,823265,MIL,SD,BB,Casey Mize (SD),,1.5,O,1.73,-125,2026-08-11T01:16:55+00:00,2,0.27,W,0.8
2026-08-10,823265,MIL,SD,ER,Casey Mize (SD),,2.5,O,2.6,123,2026-08-11T01:16:55+00:00,2,-0.6,L,-1.0
2026-08-10,824887,NYM,ATL,K,Bryce Elder (ATL),,4.5,O,4.95,104,2026-08-10T20:08:03+00:00,4,-0.95,L,-1.0
2026-08-10,824887,NYM,ATL,BB,Bryce Elder (ATL),,1.5,O,1.77,105,2026-08-10T20:08:03+00:00,3,1.23,W,1.05
2026-08-10,824887,NYM,ATL,ER,Bryce Elder (ATL),,2.5,O,2.87,110,2026-08-10T20:08:03+00:00,7,4.13,W,1.1
2026-08-10,822780,BOS,TOR,K,Jameson Taillon (TOR),,4.5,U,4.33,-142,2026-08-10T20:08:03+00:00,3,-1.33,W,0.7042
2026-08-10,822780,BOS,TOR,BB,Jameson Taillon (TOR),,1.5,O,1.82,103,2026-08-10T20:08:03+00:00,3,1.18,W,1.03
2026-08-10,822780,BOS,TOR,ER,Jameson Taillon (TOR),,2.5,O,3.22,-113,2026-08-10T20:08:03+00:00,0,-3.22,L,-1.0
2026-08-10,823189,HOU,SF,K,Blade Tidwell (SF),,3.5,O,6.29,-120,2026-08-11T01:16:55+00:00,6,-0.29,W,0.8333
2026-08-10,823189,HOU,SF,BB,Blade Tidwell (SF),,1.5,O,2.24,,2026-08-11T01:16:55+00:00,1,-1.24,L,0.0
2026-08-10,823189,HOU,SF,ER,Blade Tidwell (SF),,2.5,O,3.06,100,2026-08-11T01:16:55+00:00,1,-2.06,L,-1.0
