date,game_pk,away,home,market,entity,player_id,line,side,proj,price,ts,board,ev
2026-08-16,822940,BAL,TB,ML,BAL,,,BAL,0.468,126,2026-08-16T15:30:00Z,,
2026-08-16,822940,BAL,TB,TOTAL,BAL@TB,,7.5,Over,8.092,-100,2026-08-16T15:30:00Z,,
2026-08-16,823344,BOS,PIT,ML,BOS,,,BOS,0.282,-111,2026-08-16T15:30:00Z,,
2026-08-16,823344,BOS,PIT,TOTAL,BOS@PIT,,7.5,Over,9.118,-139,2026-08-16T15:30:00Z,,
2026-08-16,824880,AZ,ATL,ML,AZ,,,AZ,0.19,112,2026-08-16T15:30:00Z,,
2026-08-16,824880,AZ,ATL,TOTAL,AZ@ATL,,9.5,Under,8.403,-145,2026-08-16T15:30:00Z,,
2026-08-16,822774,NYY,TOR,ML,TOR,,,TOR,0.077,-121,2026-08-16T15:30:00Z,,
2026-08-16,822774,NYY,TOR,TOTAL,NYY@TOR,,6.5,Over,7.063,-115,2026-08-16T15:30:00Z,,
2026-08-16,823590,WSH,NYM,ML,NYM,,,NYM,0.659,-164,2026-08-16T15:30:00Z,,
2026-08-16,823590,WSH,NYM,TOTAL,WSH@NYM,,8.5,Over,8.573,-105,2026-08-16T15:30:00Z,,
2026-08-16,824397,SD,CLE,ML,SD,,,SD,0.625,-111,2026-08-16T15:30:00Z,,
2026-08-16,824397,SD,CLE,TOTAL,SD@CLE,,8.5,Under,7.898,-123,2026-08-16T15:30:00Z,,
2026-08-16,824236,CWS,DET,ML,CWS,,,CWS,0.506,102,2026-08-16T15:30:00Z,,
2026-08-16,824236,CWS,DET,TOTAL,CWS@DET,,8.5,Under,7.926,-130,2026-08-16T15:30:00Z,,
2026-08-16,824477,MIA,CIN,ML,MIA,,,MIA,0.248,-121,2026-08-16T15:30:00Z,,
2026-08-16,824477,MIA,CIN,TOTAL,MIA@CIN,,8.5,Under,8.494,-105,2026-08-16T15:30:00Z,,
2026-08-16,823670,PHI,MIN,ML,PHI,,,PHI,0.136,-106,2026-08-16T15:30:00Z,,
2026-08-16,823670,PHI,MIN,TOTAL,PHI@MIN,,9.5,Under,8.507,-120,2026-08-16T15:30:00Z,,
2026-08-16,824642,STL,CHC,ML,CHC,,,CHC,0.294,-175,2026-08-16T15:30:00Z,,
2026-08-16,824642,STL,CHC,TOTAL,STL@CHC,,9.5,Under,8.921,-150,2026-08-16T15:30:00Z,,
2026-08-16,823182,COL,SF,ML,COL,,,COL,0.518,114,2026-08-16T15:30:00Z,,
2026-08-16,823182,COL,SF,TOTAL,COL@SF,,8.5,Under,7.676,-136,2026-08-16T15:30:00Z,,
2026-08-16,824965,TEX,ATH,ML,ATH,,,ATH,0.735,118,2026-08-16T15:30:00Z,,
2026-08-16,824965,TEX,ATH,TOTAL,TEX@ATH,,10.5,Under,9.626,-144,2026-08-16T15:30:00Z,,
2026-08-16,823991,KC,LAA,ML,KC,,,KC,0.118,-115,2026-08-16T15:30:00Z,,
2026-08-16,823991,KC,LAA,TOTAL,KC@LAA,,8.5,Over,8.792,-120,2026-08-16T15:30:00Z,,
2026-08-16,823912,MIL,LAD,ML,LAD,,,LAD,0.173,-180,2026-08-16T15:30:00Z,,
2026-08-16,823912,MIL,LAD,TOTAL,MIL@LAD,,7.5,Under,6.614,-125,2026-08-16T15:30:00Z,,
2026-08-16,824156,SEA,HOU,ML,HOU,,,HOU,0.096,-121,2026-08-16T15:30:00Z,,
2026-08-16,824156,SEA,HOU,TOTAL,SEA@HOU,,7.5,Over,7.548,-114,2026-08-16T15:30:00Z,,
2026-08-16,822940,BAL,TB,TT,BAL,,3.5,Under,-0.01469,-134,2026-08-16T15:30:00Z,,
2026-08-16,822940,BAL,TB,TT,TB,,3.5,Over,0.02492,-135,2026-08-16T15:30:00Z,,
2026-08-16,823344,BOS,PIT,TT,BOS,,4.5,Under,-0.00712,-143,2026-08-16T15:30:00Z,,
2026-08-16,823344,BOS,PIT,TT,PIT,,3.5,Over,0.38054,-130,2026-08-16T15:30:00Z,,
2026-08-16,824880,AZ,ATL,TT,AZ,,4.5,Over,0.29634,105,2026-08-16T15:30:00Z,,
2026-08-16,824880,AZ,ATL,TT,ATL,,4.5,Over,0.4115,-105,2026-08-16T15:30:00Z,,
2026-08-16,822774,NYY,TOR,TT,NYY,,3.5,Under,-0.497,-145,2026-08-16T15:30:00Z,,
2026-08-16,822774,NYY,TOR,TT,TOR,,3.5,Under,-0.48212,-132,2026-08-16T15:30:00Z,,
2026-08-16,823590,WSH,NYM,TT,WSH,,3.5,Over,0.4904,-118,2026-08-16T15:30:00Z,,
2026-08-16,823590,WSH,NYM,TT,NYM,,4.5,Over,0.52241,-110,2026-08-16T15:30:00Z,,
2026-08-16,824397,SD,CLE,TT,SD,,4.5,Under,-0.02328,-146,2026-08-16T15:30:00Z,,
2026-08-16,824397,SD,CLE,TT,CLE,,3.5,Under,-0.27151,-102,2026-08-16T15:30:00Z,,
2026-08-16,824236,CWS,DET,TT,CWS,,3.5,Over,0.35267,-140,2026-08-16T15:30:00Z,,
2026-08-16,824236,CWS,DET,TT,DET,,3.5,Over,0.227,-136,2026-08-16T15:30:00Z,,
2026-08-16,824477,MIA,CIN,TT,MIA,,4.5,Over,1.07863,-110,2026-08-16T15:30:00Z,,
2026-08-16,824477,MIA,CIN,TT,CIN,,3.5,Under,-0.1143,105,2026-08-16T15:30:00Z,,
2026-08-16,823670,PHI,MIN,TT,PHI,,4.5,Over,0.66799,-120,2026-08-16T15:30:00Z,,
2026-08-16,823670,PHI,MIN,TT,MIN,,4.5,Over,0.66577,-105,2026-08-16T15:30:00Z,,
2026-08-16,824642,STL,CHC,TT,STL,,3.5,Over,1.03487,-125,2026-08-16T15:30:00Z,,
2026-08-16,824642,STL,CHC,TT,CHC,,4.5,Over,1.01211,-125,2026-08-16T15:30:00Z,,
2026-08-16,823182,COL,SF,TT,COL,,3.5,Over,0.3531,-125,2026-08-16T15:30:00Z,,
2026-08-16,823182,COL,SF,TT,SF,,3.5,Under,-0.36742,115,2026-08-16T15:30:00Z,,
