date,game_pk,away,home,market,entity,player_id,line,side,proj,price,ts,board,ev
2026-08-14,824643,STL,CHC,ML,CHC,,,CHC,0.068,-180,2026-08-14T14:35:00Z,,
2026-08-14,824479,MIA,CIN,ML,MIA,,,MIA,0.059,102,2026-08-14T14:35:00Z,,
2026-08-14,823346,BOS,PIT,ML,BOS,,,BOS,0.671,-125,2026-08-14T14:35:00Z,,
2026-08-14,824237,CWS,DET,ML,DET,,,DET,0.966,-148,2026-08-14T14:35:00Z,,
2026-08-14,823591,WSH,NYM,ML,WSH,,,WSH,0.044,105,2026-08-14T14:35:00Z,,
2026-08-14,824399,SD,CLE,ML,CLE,,,CLE,0.475,-130,2026-08-14T14:35:00Z,,
2026-08-14,822942,BAL,TB,ML,TB,,,TB,0.293,-169,2026-08-14T14:35:00Z,,
2026-08-14,824882,AZ,ATL,ML,ATL,,,ATL,0.206,-204,2026-08-14T14:35:00Z,,
2026-08-14,822777,NYY,TOR,ML,NYY,,,NYY,0.598,-147,2026-08-14T14:35:00Z,,
2026-08-14,824159,SEA,HOU,ML,SEA,,,SEA,0.206,109,2026-08-14T14:35:00Z,,
2026-08-14,823993,KC,LAA,ML,LAA,,,LAA,0.077,-105,2026-08-14T14:35:00Z,,
2026-08-14,824968,TEX,ATH,ML,TEX,,,TEX,0.142,-108,2026-08-14T14:35:00Z,,
2026-08-14,823913,MIL,LAD,ML,LAD,,,LAD,0.412,-188,2026-08-14T14:35:00Z,,
2026-08-14,823185,COL,SF,ML,SF,,,SF,0.308,-130,2026-08-14T14:35:00Z,,
2026-08-14,824643,STL,CHC,TOTAL,STL@CHC,,8.5,Over,8.045,-105,2026-08-14T14:35:00Z,,
2026-08-14,824479,MIA,CIN,TOTAL,MIA@CIN,,7.5,Under,7.896,-115,2026-08-14T14:35:00Z,,
2026-08-14,823346,BOS,PIT,TOTAL,BOS@PIT,,7.5,Under,7.316,-110,2026-08-14T14:35:00Z,,
2026-08-14,824237,CWS,DET,TOTAL,CWS@DET,,8.5,Under,8.311,-100,2026-08-14T14:35:00Z,,
2026-08-14,823591,WSH,NYM,TOTAL,WSH@NYM,,8.5,Over,9.137,-115,2026-08-14T14:35:00Z,,
2026-08-14,824399,SD,CLE,TOTAL,SD@CLE,,7.5,Over,7.64,-100,2026-08-14T14:35:00Z,,
2026-08-14,822942,BAL,TB,TOTAL,BAL@TB,,8.5,Over,9.296,-115,2026-08-14T14:35:00Z,,
2026-08-14,824882,AZ,ATL,TOTAL,AZ@ATL,,7.5,Under,7.593,-115,2026-08-14T14:35:00Z,,
2026-08-14,822777,NYY,TOR,TOTAL,NYY@TOR,,7.5,Under,7.363,-118,2026-08-14T14:35:00Z,,
2026-08-14,824159,SEA,HOU,TOTAL,SEA@HOU,,7.5,Under,7.506,-105,2026-08-14T14:35:00Z,,
2026-08-14,823993,KC,LAA,TOTAL,KC@LAA,,8.5,Over,9.192,-110,2026-08-14T14:35:00Z,,
2026-08-14,824968,TEX,ATH,TOTAL,TEX@ATH,,9.5,Under,9.353,-110,2026-08-14T14:35:00Z,,
2026-08-14,823913,MIL,LAD,TOTAL,MIL@LAD,,7.5,Over,7.606,-115,2026-08-14T14:35:00Z,,
2026-08-14,823185,COL,SF,TOTAL,COL@SF,,7.5,Over,8.235,-115,2026-08-14T14:35:00Z,,
2026-08-14,824643,STL,CHC,TT,STL,,3.5,Under,-0.11267,,2026-08-14T14:35:00Z,,
2026-08-14,824643,STL,CHC,TT,CHC,,4.5,Over,1.02344,105,2026-08-14T14:35:00Z,,
2026-08-14,824479,MIA,CIN,TT,MIA,,3.5,Over,0.09915,-130,2026-08-14T14:35:00Z,,
2026-08-14,824479,MIA,CIN,TT,CIN,,3.5,Over,0.05665,-128,2026-08-14T14:35:00Z,,
2026-08-14,823346,BOS,PIT,TT,BOS,,4.5,Under,-0.04363,,2026-08-14T14:35:00Z,,
2026-08-14,823346,BOS,PIT,TT,PIT,,3.5,Under,-0.6609,,2026-08-14T14:35:00Z,,
2026-08-14,824237,CWS,DET,TT,CWS,,3.5,Under,-0.31945,,2026-08-14T14:35:00Z,,
2026-08-14,824237,CWS,DET,TT,DET,,4.5,Over,0.43112,-108,2026-08-14T14:35:00Z,,
2026-08-14,823591,WSH,NYM,TT,WSH,,4.5,Over,0.21605,116,2026-08-14T14:35:00Z,,
2026-08-14,823591,WSH,NYM,TT,NYM,,4.5,Under,-0.13322,,2026-08-14T14:35:00Z,,
2026-08-14,824399,SD,CLE,TT,SD,,3.5,Over,0.16366,102,2026-08-14T14:35:00Z,,
2026-08-14,824399,SD,CLE,TT,CLE,,3.5,Under,-0.19247,,2026-08-14T14:35:00Z,,
2026-08-14,822942,BAL,TB,TT,BAL,,3.5,Under,-0.59333,,2026-08-14T14:35:00Z,,
2026-08-14,822942,BAL,TB,TT,TB,,4.5,Over,0.56339,105,2026-08-14T14:35:00Z,,
2026-08-14,824882,AZ,ATL,TT,AZ,,3.5,Over,0.20146,118,2026-08-14T14:35:00Z,,
2026-08-14,824882,AZ,ATL,TT,ATL,,4.5,Over,0.33947,-104,2026-08-14T14:35:00Z,,
2026-08-14,822777,NYY,TOR,TT,NYY,,4.5,Over,0.83897,105,2026-08-14T14:35:00Z,,
2026-08-14,822777,NYY,TOR,TT,TOR,,3.5,Under,-0.53979,,2026-08-14T14:35:00Z,,
2026-08-14,824159,SEA,HOU,TT,SEA,,3.5,Under,-0.32767,,2026-08-14T14:35:00Z,,
2026-08-14,824159,SEA,HOU,TT,HOU,,4.5,Over,0.60458,122,2026-08-14T14:35:00Z,,
2026-08-14,823993,KC,LAA,TT,KC,,4.5,Over,0.56897,110,2026-08-14T14:35:00Z,,
2026-08-14,823993,KC,LAA,TT,LAA,,3.5,Over,0.245,-140,2026-08-14T14:35:00Z,,
