date,game_pk,away,home,market,entity,player_id,line,side,proj,price,ts
2026-08-11,824240,CLE,DET,ML,DET,,,DET,0.24,-138,2026-08-11T20:56:54+00:00
2026-08-11,824240,CLE,DET,TOTAL,GAME,,7.5,O,8.28,-115,2026-08-11T20:56:54+00:00
2026-08-11,823832,PIT,MIA,ML,PIT,,,PIT,0.18,-110,2026-08-11T20:56:54+00:00
2026-08-11,823832,PIT,MIA,TOTAL,GAME,,6.5,O,7.69,-108,2026-08-11T20:56:54+00:00
2026-08-11,822697,CHC,WSH,ML,CHC,,,CHC,0.83,-178,2026-08-11T20:56:54+00:00
2026-08-11,822697,CHC,WSH,TOTAL,GAME,,9.5,U,8.94,-112,2026-08-11T20:56:54+00:00
2026-08-11,823512,SEA,NYY,ML,NYY,,,NYY,0.3,-130,2026-08-11T20:56:54+00:00
2026-08-11,823512,SEA,NYY,TOTAL,GAME,,8.5,U,7.37,-113,2026-08-11T20:56:54+00:00
2026-08-11,822778,BOS,TOR,ML,TOR,,,TOR,0.46,-136,2026-08-11T20:56:54+00:00
2026-08-11,822778,BOS,TOR,TOTAL,GAME,,6.5,O,7.48,-100,2026-08-11T20:56:54+00:00
2026-08-11,824886,NYM,ATL,ML,NYM,,,NYM,0.35,114,2026-08-11T20:56:54+00:00
2026-08-11,824886,NYM,ATL,TOTAL,GAME,,8.5,U,8.2,-112,2026-08-11T20:56:54+00:00
2026-08-11,823673,BAL,MIN,ML,BAL,,,BAL,0.41,-100,2026-08-11T20:56:54+00:00
2026-08-11,823673,BAL,MIN,TOTAL,GAME,,9.5,U,8.63,-108,2026-08-11T20:56:54+00:00
2026-08-11,824563,CIN,CWS,ML,CWS,,,CWS,0.32,-155,2026-08-11T20:56:54+00:00
2026-08-11,824563,CIN,CWS,TOTAL,GAME,,7.5,U,7.42,-105,2026-08-11T20:56:54+00:00
2026-08-11,823019,PHI,STL,ML,PHI,,,PHI,0.53,-165,2026-08-11T20:56:54+00:00
2026-08-11,823019,PHI,STL,TOTAL,GAME,,7.5,U,7.23,-105,2026-08-11T20:56:54+00:00
2026-08-11,823997,TEX,LAA,ML,TEX,,,TEX,0.78,-153,2026-08-11T20:56:54+00:00
2026-08-11,823997,TEX,LAA,TOTAL,GAME,,9.5,U,8.06,-105,2026-08-11T20:56:54+00:00
2026-08-11,825046,COL,AZ,ML,AZ,,,AZ,0.48,-172,2026-08-11T20:56:54+00:00
2026-08-11,825046,COL,AZ,TOTAL,GAME,,9.5,U,8.46,-103,2026-08-11T20:56:54+00:00
2026-08-11,824970,TB,ATH,ML,TB,,,TB,0.45,-177,2026-08-11T20:56:54+00:00
2026-08-11,824970,TB,ATH,TOTAL,GAME,,10.5,U,7.8,-115,2026-08-11T20:56:54+00:00
2026-08-11,823264,MIL,SD,ML,MIL,,,MIL,0.84,-125,2026-08-11T20:56:54+00:00
2026-08-11,823264,MIL,SD,TOTAL,GAME,,7.5,O,7.77,-105,2026-08-11T20:56:54+00:00
