date,game_pk,away,home,market,entity,player_id,line,side,proj,price,ts,board,ev
2026-08-20,824474,STL,CIN,ML,STL,,,STL,0.255,-110,2026-08-20T21:09:00Z,,
2026-08-20,824474,STL,CIN,TOTAL,STL@CIN,,9.5,Under,8.64,-146,2026-08-20T21:09:00Z,,
2026-08-20,824395,SF,CLE,ML,CLE,,,CLE,0.639,-206,2026-08-20T21:09:00Z,,
2026-08-20,824395,SF,CLE,TOTAL,SF@CLE,,6.5,Over,7.634,-134,2026-08-20T21:09:00Z,,
2026-08-20,822934,TOR,TB,ML,TB,,,TB,1.168,-160,2026-08-20T21:09:00Z,,
2026-08-20,822934,TOR,TB,TOTAL,TOR@TB,,6.5,Over,8.218,-159,2026-08-20T21:09:00Z,,
2026-08-20,824074,ATH,KC,ML,ATH,,,ATH,0.363,120,2026-08-20T21:09:00Z,,
2026-08-20,824074,ATH,KC,TOTAL,ATH@KC,,7.5,Over,8.608,-140,2026-08-20T21:09:00Z,,
2026-08-20,824589,ATL,CWS,ML,CWS,,,CWS,0.324,-108,2026-08-20T21:09:00Z,,
2026-08-20,824589,ATL,CWS,TOTAL,ATL@CWS,,8.5,Over,8.883,-115,2026-08-20T21:09:00Z,,
2026-08-20,823747,SEA,MIL,ML,MIL,,,MIL,0.153,-132,2026-08-20T21:09:00Z,,
2026-08-20,823747,SEA,MIL,TOTAL,SEA@MIL,,7.5,Over,8.053,-120,2026-08-20T21:09:00Z,,
2026-08-20,824802,NYY,BAL,ML,NYY,,,NYY,0.125,-106,2026-08-20T21:09:00Z,,
2026-08-20,824802,NYY,BAL,TOTAL,NYY@BAL,,7.5,Over,7.894,-101,2026-08-20T21:09:00Z,,
2026-08-20,822861,WSH,TEX,ML,TEX,,,TEX,0.185,-180,2026-08-20T21:09:00Z,,
2026-08-20,822861,WSH,TEX,TOTAL,WSH@TEX,,7.5,Over,8.328,-102,2026-08-20T21:09:00Z,,
2026-08-20,824153,LAA,HOU,ML,HOU,,,HOU,0.662,-180,2026-08-20T21:09:00Z,,
2026-08-20,824153,LAA,HOU,TOTAL,LAA@HOU,,8.5,Under,7.722,-115,2026-08-20T21:09:00Z,,
2026-08-20,824474,STL,CIN,TT,STL,,4.5,Over,0.78301,-109,2026-08-20T21:09:00Z,,
2026-08-20,824474,STL,CIN,TT,CIN,,4.5,Under,-0.50989,-146,2026-08-20T21:09:00Z,,
2026-08-20,824395,SF,CLE,TT,SF,,2.5,Under,-0.12188,-102,2026-08-20T21:09:00Z,,
2026-08-20,824395,SF,CLE,TT,CLE,,3.5,Under,-0.30225,110,2026-08-20T21:09:00Z,,
2026-08-20,822934,TOR,TB,TT,TOR,,3.5,Under,-0.53538,-150,2026-08-20T21:09:00Z,,
2026-08-20,822934,TOR,TB,TT,TB,,3.5,Over,0.77067,-140,2026-08-20T21:09:00Z,,
2026-08-20,824074,ATH,KC,TT,ATH,,3.5,Under,-0.15926,-100,2026-08-20T21:09:00Z,,
2026-08-20,824074,ATH,KC,TT,KC,,4.5,Over,0.29845,110,2026-08-20T21:09:00Z,,
2026-08-20,824589,ATL,CWS,TT,ATL,,4.5,Over,0.37094,105,2026-08-20T21:09:00Z,,
2026-08-20,824589,ATL,CWS,TT,CWS,,4.5,Over,1.05385,115,2026-08-20T21:09:00Z,,
2026-08-20,823747,SEA,MIL,TT,SEA,,3.5,Under,-0.46998,-110,2026-08-20T21:09:00Z,,
2026-08-20,823747,SEA,MIL,TT,MIL,,3.5,Over,0.4664,-145,2026-08-20T21:09:00Z,,
2026-08-20,824802,NYY,BAL,TT,NYY,,3.5,Over,0.32832,-125,2026-08-20T21:09:00Z,,
2026-08-20,824802,NYY,BAL,TT,BAL,,3.5,Under,-0.54914,-118,2026-08-20T21:09:00Z,,
2026-08-20,822861,WSH,TEX,TT,WSH,,3.5,Over,0.32317,120,2026-08-20T21:09:00Z,,
2026-08-20,822861,WSH,TEX,TT,TEX,,4.5,Under,-0.33134,-145,2026-08-20T21:09:00Z,,
2026-08-20,824153,LAA,HOU,TT,LAA,,3.5,Under,-1.11282,-123,2026-08-20T21:09:00Z,,
2026-08-20,824153,LAA,HOU,TT,HOU,,4.5,Over,0.8988,-115,2026-08-20T21:09:00Z,,
2026-08-20,824474,STL,CIN,K,Michael McGreevy,700241,4.5,Over,4.9594,-104,2026-08-20T21:09:00Z,,
2026-08-20,824474,STL,CIN,BB,Michael McGreevy,700241,1.5,Over,1.7823,-149,2026-08-20T21:09:00Z,,
2026-08-20,824474,STL,CIN,ER,Michael McGreevy,700241,2.5,Over,3.1586,-115,2026-08-20T21:09:00Z,,
2026-08-20,824474,STL,CIN,K,Brady Singer,663903,4.5,Over,4.6451,104,2026-08-20T21:09:00Z,,
2026-08-20,824474,STL,CIN,BB,Brady Singer,663903,1.5,Over,1.641,-169,2026-08-20T21:09:00Z,,
2026-08-20,824474,STL,CIN,ER,Brady Singer,663903,2.5,Over,2.8118,-140,2026-08-20T21:09:00Z,,
2026-08-20,824395,SF,CLE,K,Landen Roupp,694738,4.5,Under,4.0913,-150,2026-08-20T21:09:00Z,,
2026-08-20,824395,SF,CLE,BB,Landen Roupp,694738,2.5,Under,2.1104,-152,2026-08-20T21:09:00Z,,
2026-08-20,824395,SF,CLE,ER,Landen Roupp,694738,2.5,Over,2.5483,105,2026-08-20T21:09:00Z,,
2026-08-20,824395,SF,CLE,K,Gavin Williams,668909,7.5,Under,7.0594,-130,2026-08-20T21:09:00Z,,
2026-08-20,824395,SF,CLE,BB,Gavin Williams,668909,1.5,Over,1.6225,-131,2026-08-20T21:09:00Z,,
2026-08-20,824395,SF,CLE,ER,Gavin Williams,668909,1.5,Over,2.1352,-105,2026-08-20T21:09:00Z,,
2026-08-20,822934,TOR,TB,K,Shane Bieber,669456,3.5,Over,3.8227,-135,2026-08-20T21:09:00Z,,
2026-08-20,822934,TOR,TB,BB,Shane Bieber,669456,1.5,Over,2.1533,-138,2026-08-20T21:09:00Z,,
2026-08-20,822934,TOR,TB,ER,Shane Bieber,669456,2.5,Over,2.8249,-105,2026-08-20T21:09:00Z,,
2026-08-20,822934,TOR,TB,K,Ian Seymour,693855,5.5,Over,5.7141,111,2026-08-20T21:09:00Z,,
2026-08-20,822934,TOR,TB,BB,Ian Seymour,693855,1.5,Under,1.2972,-163,2026-08-20T21:09:00Z,,
2026-08-20,822934,TOR,TB,ER,Ian Seymour,693855,1.5,Over,2.1671,-150,2026-08-20T21:09:00Z,,
2026-08-20,824074,ATH,KC,K,Gage Jump,695611,4.5,Over,4.784,-150,2026-08-20T21:09:00Z,,
2026-08-20,824074,ATH,KC,BB,Gage Jump,695611,1.5,Over,2.1096,-155,2026-08-20T21:09:00Z,,
2026-08-20,824074,ATH,KC,ER,Gage Jump,695611,2.5,Over,2.5991,-105,2026-08-20T21:09:00Z,,
2026-08-20,824074,ATH,KC,K,Randy Dobnak,677976,3.5,Over,4.2458,118,2026-08-20T21:09:00Z,,
2026-08-20,824074,ATH,KC,BB,Randy Dobnak,677976,1.5,Over,1.6158,111,2026-08-20T21:09:00Z,,
2026-08-20,824074,ATH,KC,ER,Randy Dobnak,677976,2.5,Under,2.1949,-155,2026-08-20T21:09:00Z,,
2026-08-20,824589,ATL,CWS,K,Grant Holmes,656550,4.5,Over,4.9363,112,2026-08-20T21:09:00Z,,
2026-08-20,824589,ATL,CWS,BB,Grant Holmes,656550,1.5,Over,2.7054,-159,2026-08-20T21:09:00Z,,
2026-08-20,824589,ATL,CWS,ER,Grant Holmes,656550,2.5,Over,3.1491,118,2026-08-20T21:09:00Z,,
2026-08-20,824589,ATL,CWS,K,Anthony Kay,641743,4.5,Over,4.8677,115,2026-08-20T21:09:00Z,,
2026-08-20,824589,ATL,CWS,BB,Anthony Kay,641743,1.5,Over,1.6851,-124,2026-08-20T21:09:00Z,,
2026-08-20,824589,ATL,CWS,ER,Anthony Kay,641743,2.5,Under,2.3839,-150,2026-08-20T21:09:00Z,,
2026-08-20,823747,SEA,MIL,K,George Kirby,669923,4.5,Over,5.8472,-145,2026-08-20T21:09:00Z,,
2026-08-20,823747,SEA,MIL,BB,George Kirby,669923,1.5,Over,1.914,-131,2026-08-20T21:09:00Z,,
2026-08-20,823747,SEA,MIL,ER,George Kirby,669923,2.5,Over,2.7962,-100,2026-08-20T21:09:00Z,,
2026-08-20,823747,SEA,MIL,K,Robert Gasser,688107,5.5,Under,4.986,-155,2026-08-20T21:09:00Z,,
2026-08-20,823747,SEA,MIL,BB,Robert Gasser,688107,1.5,Under,1.4593,-186,2026-08-20T21:09:00Z,,
2026-08-20,823747,SEA,MIL,ER,Robert Gasser,688107,1.5,Over,3.0206,-170,2026-08-20T21:09:00Z,,
2026-08-20,824802,NYY,BAL,K,Gerrit Cole,543037,6.5,Over,7.4546,-120,2026-08-20T21:09:00Z,,
2026-08-20,824802,NYY,BAL,BB,Gerrit Cole,543037,1.5,Over,1.6965,-104,2026-08-20T21:09:00Z,,
2026-08-20,824802,NYY,BAL,ER,Gerrit Cole,543037,2.5,Under,2.2986,-149,2026-08-20T21:09:00Z,,
2026-08-20,824802,NYY,BAL,K,Kyle Bradish,680694,5.5,Over,5.8983,-138,2026-08-20T21:09:00Z,,
2026-08-20,824802,NYY,BAL,BB,Kyle Bradish,680694,1.5,Over,2.3696,-165,2026-08-20T21:09:00Z,,
2026-08-20,824802,NYY,BAL,ER,Kyle Bradish,680694,2.5,Over,2.9096,120,2026-08-20T21:09:00Z,,
2026-08-20,822861,WSH,TEX,K,Andrew Alvarez,674841,4.5,Over,4.8976,-106,2026-08-20T21:09:00Z,,
2026-08-20,822861,WSH,TEX,BB,Andrew Alvarez,674841,2.5,Under,2.1203,-192,2026-08-20T21:09:00Z,,
