date,game_pk,away,home,market,entity,player_id,line,side,proj,price,ts,board,ev
2026-08-13,824238,CLE,DET,ML,CLE,,,CLE,0.272,-121,2026-08-13T15:05:00Z,,
2026-08-13,824238,CLE,DET,TOTAL,CLE@DET,,8.0,Under,7.344,-107,2026-08-13T15:05:00Z,,
2026-08-13,823829,PIT,MIA,ML,PIT,,,PIT,0.642,-120,2026-08-13T15:05:00Z,,
2026-08-13,823829,PIT,MIA,TOTAL,PIT@MIA,,8.0,Over,8.15,-110,2026-08-13T15:05:00Z,,
2026-08-13,823508,SEA,NYY,ML,NYY,,,NYY,0.096,-136,2026-08-13T15:05:00Z,,
2026-08-13,823508,SEA,NYY,TOTAL,SEA@NYY,,7.5,Under,7.025,-100,2026-08-13T15:05:00Z,,
2026-08-13,824561,CIN,CWS,ML,CWS,,,CWS,0.324,-133,2026-08-13T15:05:00Z,,
2026-08-13,824561,CIN,CWS,TOTAL,CIN@CWS,,8.5,Over,9.124,-105,2026-08-13T15:05:00Z,,
2026-08-13,822776,BOS,TOR,ML,BOS,,,BOS,1.174,-155,2026-08-13T15:05:00Z,,
2026-08-13,822776,BOS,TOR,TOTAL,BOS@TOR,,8.0,Under,7.606,-112,2026-08-13T15:05:00Z,,
2026-08-13,822696,CHC,WSH,ML,WSH,,,WSH,0.2,129,2026-08-13T15:05:00Z,,
2026-08-13,822696,CHC,WSH,TOTAL,CHC@WSH,,8.5,Under,8.413,-100,2026-08-13T15:05:00Z,,
2026-08-13,823669,PHI,MIN,ML,PHI,,,PHI,0.201,-103,2026-08-13T15:05:00Z,,
2026-08-13,823669,PHI,MIN,TOTAL,PHI@MIN,,8.5,Under,8.332,-105,2026-08-13T15:05:00Z,,
2026-08-13,823995,TEX,LAA,ML,TEX,,,TEX,0.77,-154,2026-08-13T15:05:00Z,,
2026-08-13,823995,TEX,LAA,TOTAL,TEX@LAA,,8.0,Under,7.437,-110,2026-08-13T15:05:00Z,,
2026-08-13,823915,MIL,LAD,ML,LAD,,,LAD,0.204,-145,2026-08-13T15:05:00Z,,
2026-08-13,823915,MIL,LAD,TOTAL,MIL@LAD,,8.5,Under,7.843,-115,2026-08-13T15:05:00Z,,
2026-08-13,824238,CLE,DET,TT,CLE,,4.5,Under,-0.24859,-140,2026-08-13T15:05:00Z,,
2026-08-13,824238,CLE,DET,TT,DET,,3.5,Under,-0.03539,-105,2026-08-13T15:05:00Z,,
