date,game_pk,away,home,market,entity,player_id,line,side,proj,price,ts,board,ev
2026-08-22,823509,TOR,NYY,ML,TOR,,,TOR,0.356,-109,2026-08-22T17:10:00Z,,
2026-08-22,823509,TOR,NYY,TOTAL,TOR@NYY,,6.5,Over,6.983,-116,2026-08-22T17:10:00Z,,
2026-08-22,823743,ATL,MIL,ML,MIL,,,MIL,0.837,-160,2026-08-22T17:10:00Z,,
2026-08-22,823743,ATL,MIL,TOTAL,ATL@MIL,,8.5,Under,7.381,-139,2026-08-22T17:10:00Z,,
2026-08-22,823831,WSH,MIA,ML,MIA,,,MIA,0.849,-183,2026-08-22T17:10:00Z,,
2026-08-22,823831,WSH,MIA,TOTAL,WSH@MIA,,7.5,Over,8.571,-100,2026-08-22T17:10:00Z,,
2026-08-22,823509,TOR,NYY,TT,TOR,,3.5,Under,-0.10372,-135,2026-08-22T17:10:00Z,,
2026-08-22,823509,TOR,NYY,TT,NYY,,3.5,Under,-0.51155,-152,2026-08-22T17:10:00Z,,
2026-08-22,823743,ATL,MIL,TT,ATL,,3.5,Under,-0.6054,-125,2026-08-22T17:10:00Z,,
2026-08-22,823743,ATL,MIL,TT,MIL,,4.5,Under,-0.06034,-137,2026-08-22T17:10:00Z,,
2026-08-22,823831,WSH,MIA,TT,WSH,,2.5,Under,-0.40955,120,2026-08-22T17:10:00Z,,
2026-08-22,823831,WSH,MIA,TT,MIA,,4.5,Over,0.52833,110,2026-08-22T17:10:00Z,,
2026-08-22,823509,TOR,NYY,K,Dylan Cease,656302,8.5,Over,8.9434,-112,2026-08-22T17:10:00Z,,
2026-08-22,823509,TOR,NYY,BB,Dylan Cease,656302,2.5,Under,2.3391,-155,2026-08-22T17:10:00Z,,
2026-08-22,823509,TOR,NYY,ER,Dylan Cease,656302,1.5,Over,1.7641,-140,2026-08-22T17:10:00Z,,
2026-08-22,823509,TOR,NYY,K,Ryan Weathers,677960,5.5,Under,5.0077,-160,2026-08-22T17:10:00Z,,
2026-08-22,823509,TOR,NYY,BB,Ryan Weathers,677960,1.5,Under,1.3601,100,2026-08-22T17:10:00Z,,
2026-08-22,823509,TOR,NYY,ER,Ryan Weathers,677960,1.5,Over,2.0936,-165,2026-08-22T17:10:00Z,,
2026-08-22,823743,ATL,MIL,K,Martín Pérez,527048,3.5,Over,3.905,-114,2026-08-22T17:10:00Z,,
2026-08-22,823743,ATL,MIL,BB,Martín Pérez,527048,1.5,Over,2.7206,-188,2026-08-22T17:10:00Z,,
2026-08-22,823743,ATL,MIL,ER,Martín Pérez,527048,2.5,Under,2.4655,-139,2026-08-22T17:10:00Z,,
2026-08-22,823743,ATL,MIL,K,Logan Henderson,701656,6.5,Under,6.1505,-125,2026-08-22T17:10:00Z,,
2026-08-22,823743,ATL,MIL,BB,Logan Henderson,701656,1.5,Under,1.3305,-175,2026-08-22T17:10:00Z,,
2026-08-22,823743,ATL,MIL,ER,Logan Henderson,701656,1.5,Over,1.9869,-150,2026-08-22T17:10:00Z,,
2026-08-22,823831,WSH,MIA,K,Jake Irvin,663623,4.5,Over,5.0734,-110,2026-08-22T17:10:00Z,,
2026-08-22,823831,WSH,MIA,BB,Jake Irvin,663623,1.5,Over,2.042,-142,2026-08-22T17:10:00Z,,
2026-08-22,823831,WSH,MIA,ER,Jake Irvin,663623,2.5,Over,2.6681,-118,2026-08-22T17:10:00Z,,
2026-08-22,823831,WSH,MIA,K,Eury Pérez,691587,6.5,Over,6.661,-102,2026-08-22T17:10:00Z,,
2026-08-22,823831,WSH,MIA,BB,Eury Pérez,691587,1.5,Over,1.8876,-153,2026-08-22T17:10:00Z,,
2026-08-22,823831,WSH,MIA,ER,Eury Pérez,691587,1.5,Over,2.151,-138,2026-08-22T17:10:00Z,,
2026-08-22,823831,WSH,MIA,TB,José Tena,677588,1.5,Over,-0.0779,290,2026-08-22T17:10:00Z,EV,31.44
2026-08-22,823509,TOR,NYY,TB,Kazuma Okamoto,672960,1.5,Over,0.40422,185,2026-08-22T17:10:00Z,EV,14.05
2026-08-22,823831,WSH,MIA,TB,Esteury Ruiz,665923,1.5,Over,-0.18441,250,2026-08-22T17:10:00Z,EV,13.91
2026-08-22,823509,TOR,NYY,TB,Ben Rice,700250,1.5,Over,0.94541,175,2026-08-22T17:10:00Z,Z,12.14
2026-08-22,823509,TOR,NYY,TB,Luis García Jr.,671277,1.5,Over,0.91013,175,2026-08-22T17:10:00Z,Z,7.71
2026-08-22,823743,ATL,MIL,TB,Matt Olson,621566,1.5,Over,0.87365,143,2026-08-22T17:10:00Z,Z,5.99
2026-08-22,823831,WSH,MIA,TB,Griffin Conine,665052,1.5,Over,0.82173,131,2026-08-22T17:10:00Z,Z,0.08
2026-08-22,823743,ATL,MIL,TB,Drake Baldwin,686948,1.5,Over,0.80236,148,2026-08-22T17:10:00Z,Z,7.89
2026-08-22,823743,ATL,MIL,TB,Michael Harris II,671739,1.5,Over,0.65789,144,2026-08-22T17:10:00Z,Z,3.31
2026-08-22,823509,TOR,NYY,TB,Trent Grisham,663757,1.5,Over,0.59503,192,2026-08-22T17:10:00Z,Z,9.55
2026-08-22,823743,ATL,MIL,TB,Ronald Acuña Jr.,660670,1.5,Over,0.51905,143,2026-08-22T17:10:00Z,Z,-1.36
2026-08-22,823831,WSH,MIA,HRR,Otto Lopez,672640,1.5,Over,0.8133,-134,2026-08-22T17:10:00Z,,
2026-08-22,823422,STL,PHI,ML,STL,,,STL,0.103,132,2026-08-22T21:00:00Z,,
2026-08-22,823422,STL,PHI,TOTAL,STL@PHI,,9.5,Under,8.162,-151,2026-08-22T21:00:00Z,,
2026-08-22,824798,TB,BAL,ML,TB,,,TB,0.143,-125,2026-08-22T21:00:00Z,,
2026-08-22,824798,TB,BAL,TOTAL,TB@BAL,,7.5,Over,8.26,-125,2026-08-22T21:00:00Z,,
2026-08-22,822858,LAA,TEX,ML,TEX,,,TEX,0.229,-161,2026-08-22T21:00:00Z,,
2026-08-22,822858,LAA,TEX,TOTAL,LAA@TEX,,7.5,Over,8.213,-138,2026-08-22T21:00:00Z,,
2026-08-22,824151,ATH,HOU,ML,HOU,,,HOU,0.254,-238,2026-08-22T21:00:00Z,,
2026-08-22,824151,ATH,HOU,TOTAL,ATH@HOU,,8.5,Under,7.95,-137,2026-08-22T21:00:00Z,,
2026-08-22,824560,NYM,CWS,ML,NYM,,,NYM,0.292,101,2026-08-22T21:00:00Z,,
2026-08-22,824560,NYM,CWS,TOTAL,NYM@CWS,,8.5,Under,8.121,-108,2026-08-22T21:00:00Z,,
2026-08-22,824073,DET,KC,ML,DET,,,DET,0.327,-105,2026-08-22T21:00:00Z,,
2026-08-22,824073,DET,KC,TOTAL,DET@KC,,8.5,Under,8.456,-115,2026-08-22T21:00:00Z,,
2026-08-22,823910,PIT,LAD,ML,LAD,,,LAD,0.65,-268,2026-08-22T21:00:00Z,,
2026-08-22,823910,PIT,LAD,TOTAL,PIT@LAD,,7.5,Under,7.333,-110,2026-08-22T21:00:00Z,,
2026-08-22,823100,CHC,SEA,ML,CHC,,,CHC,0.054,103,2026-08-22T21:00:00Z,,
2026-08-22,823100,CHC,SEA,TOTAL,CHC@SEA,,7.5,Over,8.266,-105,2026-08-22T21:00:00Z,,
2026-08-22,824718,SF,BOS,ML,BOS,,,BOS,0.568,-205,2026-08-22T21:00:00Z,,
2026-08-22,824718,SF,BOS,TOTAL,SF@BOS,,7.5,Over,8.659,-134,2026-08-22T21:00:00Z,,
2026-08-22,825044,CIN,AZ,ML,AZ,,,AZ,0.777,-170,2026-08-22T21:00:00Z,,
2026-08-22,825044,CIN,AZ,TOTAL,CIN@AZ,,7.5,Over,8.192,-129,2026-08-22T21:00:00Z,,
2026-08-22,824316,CLE,COL,ML,COL,,,COL,0.041,126,2026-08-22T21:00:00Z,,
2026-08-22,824316,CLE,COL,TOTAL,CLE@COL,,11.5,Under,8.668,-145,2026-08-22T21:00:00Z,,
2026-08-22,823261,MIN,SD,ML,SD,,,SD,0.603,-136,2026-08-22T21:00:00Z,,
2026-08-22,823261,MIN,SD,TOTAL,MIN@SD,,8.5,Under,8.1,-115,2026-08-22T21:00:00Z,,
2026-08-22,823422,STL,PHI,TT,STL,,3.5,Over,0.44869,-144,2026-08-22T21:00:00Z,,
2026-08-22,823422,STL,PHI,TT,PHI,,4.5,Over,0.03287,-114,2026-08-22T21:00:00Z,,
2026-08-22,824798,TB,BAL,TT,TB,,4.5,Over,0.25856,113,2026-08-22T21:00:00Z,,
2026-08-22,824798,TB,BAL,TT,BAL,,3.5,Under,-0.40232,-116,2026-08-22T21:00:00Z,,
2026-08-22,822858,LAA,TEX,TT,LAA,,3.5,Under,-0.37425,-120,2026-08-22T21:00:00Z,,
2026-08-22,822858,LAA,TEX,TT,TEX,,4.5,Over,0.51898,-101,2026-08-22T21:00:00Z,,
2026-08-22,824151,ATH,HOU,TT,ATH,,2.5,Under,-0.24421,116,2026-08-22T21:00:00Z,,
2026-08-22,824151,ATH,HOU,TT,HOU,,4.5,Over,0.33735,-120,2026-08-22T21:00:00Z,,
2026-08-22,824560,NYM,CWS,TT,NYM,,4.5,Over,0.52075,112,2026-08-22T21:00:00Z,,
2026-08-22,824560,NYM,CWS,TT,CWS,,3.5,Over,0.61693,-150,2026-08-22T21:00:00Z,,
2026-08-22,824073,DET,KC,TT,DET,,4.5,Over,0.5339,109,2026-08-22T21:00:00Z,,
2026-08-22,824073,DET,KC,TT,KC,,3.5,Over,0.14276,-145,2026-08-22T21:00:00Z,,
2026-08-22,823910,PIT,LAD,TT,PIT,,2.5,Over,0.02881,-133,2026-08-22T21:00:00Z,,
2026-08-22,823910,PIT,LAD,TT,LAD,,4.5,Over,0.5175,-115,2026-08-22T21:00:00Z,,
2026-08-22,823100,CHC,SEA,TT,CHC,,3.5,Over,1.68721,-118,2026-08-22T21:00:00Z,,
2026-08-22,823100,CHC,SEA,TT,SEA,,3.5,Under,-0.62695,-105,2026-08-22T21:00:00Z,,
2026-08-22,824718,SF,BOS,TT,SF,,3.5,Under,-0.21362,-145,2026-08-22T21:00:00Z,,
2026-08-22,824718,SF,BOS,TT,BOS,,4.5,Over,0.07952,-113,2026-08-22T21:00:00Z,,
2026-08-22,825044,CIN,AZ,TT,CIN,,3.5,Under,-0.94761,-125,2026-08-22T21:00:00Z,,
2026-08-22,825044,CIN,AZ,TT,AZ,,4.5,Over,0.3665,104,2026-08-22T21:00:00Z,,
2026-08-22,824316,CLE,COL,TT,CLE,,5.5,Over,0.64305,-125,2026-08-22T21:00:00Z,,
2026-08-22,824316,CLE,COL,TT,COL,,4.5,Over,1.51131,-130,2026-08-22T21:00:00Z,,
2026-08-22,823261,MIN,SD,TT,MIN,,3.5,Under,-0.17852,-102,2026-08-22T21:00:00Z,,
2026-08-22,823261,MIN,SD,TT,SD,,4.5,Over,0.44919,104,2026-08-22T21:00:00Z,,
2026-08-22,823422,STL,PHI,K,Quinn Mathews,687273,4.5,Under,4.0264,-113,2026-08-22T21:00:00Z,,
2026-08-22,823422,STL,PHI,BB,Quinn Mathews,687273,2.5,Under,1.6703,-175,2026-08-22T21:00:00Z,,
2026-08-22,823422,STL,PHI,ER,Quinn Mathews,687273,2.5,Under,1.9705,-140,2026-08-22T21:00:00Z,,
2026-08-22,823422,STL,PHI,K,Andrew Painter,691725,3.5,Over,4.3105,-159,2026-08-22T21:00:00Z,,
2026-08-22,823422,STL,PHI,BB,Andrew Painter,691725,1.5,Over,1.9775,-117,2026-08-22T21:00:00Z,,
2026-08-22,823422,STL,PHI,ER,Andrew Painter,691725,2.5,Over,2.9581,105,2026-08-22T21:00:00Z,,
2026-08-22,824798,TB,BAL,K,Shane McClanahan,663556,4.5,Over,5.1595,-105,2026-08-22T21:00:00Z,,
2026-08-22,824798,TB,BAL,ER,Shane McClanahan,663556,1.5,Over,2.0753,-115,2026-08-22T21:00:00Z,,
2026-08-22,824798,TB,BAL,K,Brandon Young,687064,3.5,Over,4.0519,-142,2026-08-22T21:00:00Z,,
2026-08-22,824798,TB,BAL,ER,Brandon Young,687064,2.5,Over,3.0966,-100,2026-08-22T21:00:00Z,,
2026-08-22,822858,LAA,TEX,K,Ryan Johnson,696270,3.5,Over,4.7174,-158,2026-08-22T21:00:00Z,,
2026-08-22,822858,LAA,TEX,BB,Ryan Johnson,696270,1.5,Over,2.3368,-177,2026-08-22T21:00:00Z,,
2026-08-22,822858,LAA,TEX,ER,Ryan Johnson,696270,2.5,Over,2.9085,-135,2026-08-22T21:00:00Z,,
2026-08-22,822858,LAA,TEX,K,Cody Bradford,674003,4.5,Over,5.5806,-147,2026-08-22T21:00:00Z,,
2026-08-22,822858,LAA,TEX,BB,Cody Bradford,674003,1.5,Over,2.0665,145,2026-08-22T21:00:00Z,,
2026-08-22,822858,LAA,TEX,ER,Cody Bradford,674003,2.5,Over,2.9274,128,2026-08-22T21:00:00Z,,
2026-08-22,824151,ATH,HOU,K,Jacob Lopez,682052,4.5,Under,4.2583,-104,2026-08-22T21:00:00Z,,
2026-08-22,824151,ATH,HOU,BB,Jacob Lopez,682052,1.5,Over,2.5956,-190,2026-08-22T21:00:00Z,,
2026-08-22,824151,ATH,HOU,ER,Jacob Lopez,682052,2.5,Under,2.3369,-115,2026-08-22T21:00:00Z,,
2026-08-22,824151,ATH,HOU,K,Hunter Brown,686613,6.5,Under,4.9976,-184,2026-08-22T21:00:00Z,,
2026-08-22,824151,ATH,HOU,BB,Hunter Brown,686613,2.5,Under,2.3577,-190,2026-08-22T21:00:00Z,,
2026-08-22,824151,ATH,HOU,ER,Hunter Brown,686613,1.5,Over,2.1764,-130,2026-08-22T21:00:00Z,,
2026-08-22,824560,NYM,CWS,K,Christian Scott,681035,6.5,Under,5.5701,-170,2026-08-22T21:00:00Z,,
2026-08-22,824560,NYM,CWS,BB,Christian Scott,681035,1.5,Over,2.0737,-154,2026-08-22T21:00:00Z,,
