date,game_pk,away,home,market,entity,player_id,line,side,proj,price,ts
2026-08-10,822780,BOS,TOR,ML,BOS,,,BOS,1.19,-162,2026-08-10T20:08:03+00:00
2026-08-10,824887,NYM,ATL,ML,NYM,,,NYM,0.32,135,2026-08-10T20:08:03+00:00
2026-08-10,823675,BAL,MIN,ML,BAL,,,BAL,0.92,-112,2026-08-10T20:08:03+00:00
2026-08-10,823018,PHI,STL,ML,PHI,,,PHI,0.47,100,2026-08-10T20:08:03+00:00
2026-08-10,823998,TEX,LAA,ML,TEX,,,TEX,0.16,-114,2026-08-10T20:08:03+00:00
2026-08-10,825048,COL,ARI,ML,COL,,,COL,0.64,162,2026-08-10T20:08:03+00:00
2026-08-10,824969,TB,ATH,ML,ATH,,,ATH,0.26,140,2026-08-10T20:08:03+00:00
2026-08-10,823265,MIL,SD,ML,MIL,,,MIL,0.03,-110,2026-08-10T20:08:03+00:00
2026-08-10,823189,HOU,SF,ML,HOU,,,HOU,0.24,-145,2026-08-10T20:08:03+00:00
2026-08-10,823918,KC,LAD,ML,LAD,,,LAD,1.35,-300,2026-08-10T20:08:03+00:00
2026-08-10,822780,BOS,TOR,TOTAL,GAME,,8.5,U,8.35,-115,2026-08-10T20:08:03+00:00
2026-08-10,824887,NYM,ATL,TOTAL,GAME,,8.5,U,7.95,-110,2026-08-10T20:08:03+00:00
2026-08-10,823675,BAL,MIN,TOTAL,GAME,,8.5,U,7.77,-110,2026-08-10T20:08:03+00:00
2026-08-10,823018,PHI,STL,TOTAL,GAME,,9.5,U,8.17,-142,2026-08-10T20:08:03+00:00
2026-08-10,823998,TEX,LAA,TOTAL,GAME,,8.5,U,7.09,-125,2026-08-10T20:08:03+00:00
2026-08-10,825048,COL,ARI,TOTAL,GAME,,8.5,U,8.11,100,2026-08-10T20:08:03+00:00
2026-08-10,824969,TB,ATH,TOTAL,GAME,,10.5,U,8.91,-128,2026-08-10T20:08:03+00:00
