date,game_pk,away,home,market,entity,player_id,line,side,proj,price,ts,board,ev
2026-08-18,824803,NYY,BAL,ML,BAL,,,BAL,0.525,-100,2026-08-18T17:10:00Z,,
2026-08-18,824803,NYY,BAL,TOTAL,NYY@BAL,,8.5,Under,7.99,-105,2026-08-18T17:10:00Z,,
2026-08-18,823341,DET,PIT,ML,PIT,,,PIT,0.319,-141,2026-08-18T17:10:00Z,,
2026-08-18,823341,DET,PIT,TOTAL,DET@PIT,,7.5,Over,8.065,-132,2026-08-18T17:10:00Z,,
2026-08-18,824398,SF,CLE,ML,CLE,,,CLE,0.529,-192,2026-08-18T17:10:00Z,,
2026-08-18,824398,SF,CLE,TOTAL,SF@CLE,,7.5,Over,8.173,-135,2026-08-18T17:10:00Z,,
2026-08-18,824475,STL,CIN,ML,STL,,,STL,0.532,-117,2026-08-18T17:10:00Z,,
2026-08-18,824475,STL,CIN,TOTAL,STL@CIN,,8.5,Over,9.255,-133,2026-08-18T17:10:00Z,,
2026-08-18,822938,TOR,TB,ML,TB,,,TB,0.193,-130,2026-08-18T17:10:00Z,,
2026-08-18,822938,TOR,TB,TOTAL,TOR@TB,,7.5,Over,7.873,-110,2026-08-18T17:10:00Z,,
2026-08-18,823423,MIA,PHI,ML,PHI,,,PHI,0.908,-213,2026-08-18T17:10:00Z,,
2026-08-18,823423,MIA,PHI,TOTAL,MIA@PHI,,8.5,Under,7.685,-123,2026-08-18T17:10:00Z,,
2026-08-18,824723,AZ,BOS,ML,BOS,,,BOS,0.514,-161,2026-08-18T17:10:00Z,,
2026-08-18,824723,AZ,BOS,TOTAL,AZ@BOS,,7.5,Over,8.666,-127,2026-08-18T17:10:00Z,,
2026-08-18,823586,SD,NYM,ML,SD,,,SD,0.043,-111,2026-08-18T17:10:00Z,,
2026-08-18,823586,SD,NYM,TOTAL,SD@NYM,,8.5,Under,8.348,-110,2026-08-18T17:10:00Z,,
2026-08-18,824075,ATH,KC,ML,ATH,,,ATH,0.325,137,2026-08-18T17:10:00Z,,
2026-08-18,824075,ATH,KC,TOTAL,ATH@KC,,9.5,Under,8.474,-135,2026-08-18T17:10:00Z,,
2026-08-18,823667,ATL,MIN,ML,ATL,,,ATL,0.52,-123,2026-08-18T17:10:00Z,,
2026-08-18,823667,ATL,MIN,TOTAL,ATL@MIN,,8.5,Under,7.989,-100,2026-08-18T17:10:00Z,,
2026-08-18,823749,SEA,MIL,ML,MIL,,,MIL,0.101,-172,2026-08-18T17:10:00Z,,
2026-08-18,823749,SEA,MIL,TOTAL,SEA@MIL,,7.5,Under,6.994,-105,2026-08-18T17:10:00Z,,
2026-08-18,822859,WSH,TEX,ML,TEX,,,TEX,0.032,-150,2026-08-18T17:10:00Z,,
2026-08-18,822859,WSH,TEX,TOTAL,WSH@TEX,,7.5,Over,8.439,-122,2026-08-18T17:10:00Z,,
2026-08-18,824639,CWS,CHC,ML,CHC,,,CHC,0.598,-172,2026-08-18T17:10:00Z,,
2026-08-18,824639,CWS,CHC,TOTAL,CWS@CHC,,9.5,Under,8.422,-133,2026-08-18T17:10:00Z,,
2026-08-18,824154,LAA,HOU,ML,LAA,,,LAA,0.017,144,2026-08-18T17:10:00Z,,
2026-08-18,824154,LAA,HOU,TOTAL,LAA@HOU,,9.5,Under,8.063,-130,2026-08-18T17:10:00Z,,
2026-08-18,824319,LAD,COL,ML,LAD,,,LAD,0.32,-190,2026-08-18T17:10:00Z,,
2026-08-18,824319,LAD,COL,TOTAL,LAD@COL,,11.5,Under,10.607,-105,2026-08-18T17:10:00Z,,
2026-08-18,824803,NYY,BAL,TT,NYY,,4.5,Over,0.25625,-100,2026-08-18T17:10:00Z,,
2026-08-18,824803,NYY,BAL,TT,BAL,,3.5,Under,-0.51162,111,2026-08-18T17:10:00Z,,
2026-08-18,823341,DET,PIT,TT,DET,,3.5,Under,-0.15014,-113,2026-08-18T17:10:00Z,,
2026-08-18,823341,DET,PIT,TT,PIT,,4.5,Under,-0.17271,-142,2026-08-18T17:10:00Z,,
2026-08-18,824398,SF,CLE,TT,SF,,3.5,Under,-0.42929,-132,2026-08-18T17:10:00Z,,
2026-08-18,824398,SF,CLE,TT,CLE,,4.5,Over,0.43197,-108,2026-08-18T17:10:00Z,,
2026-08-18,824475,STL,CIN,TT,STL,,4.5,Over,0.47338,-110,2026-08-18T17:10:00Z,,
2026-08-18,824475,STL,CIN,TT,CIN,,4.5,Under,-0.53982,-147,2026-08-18T17:10:00Z,,
2026-08-18,822938,TOR,TB,TT,TOR,,3.5,Under,-0.5679,-118,2026-08-18T17:10:00Z,,
2026-08-18,822938,TOR,TB,TT,TB,,3.5,Over,0.17443,-136,2026-08-18T17:10:00Z,,
2026-08-18,823423,MIA,PHI,TT,MIA,,3.5,Under,-0.03418,-148,2026-08-18T17:10:00Z,,
2026-08-18,823423,MIA,PHI,TT,PHI,,4.5,Over,0.81981,-121,2026-08-18T17:10:00Z,,
2026-08-18,824723,AZ,BOS,TT,AZ,,3.5,Under,-0.26782,-124,2026-08-18T17:10:00Z,,
2026-08-18,824723,AZ,BOS,TT,BOS,,4.5,Over,0.6292,104,2026-08-18T17:10:00Z,,
2026-08-18,823586,SD,NYM,TT,SD,,4.5,Under,-0.39355,-133,2026-08-18T17:10:00Z,,
2026-08-18,823586,SD,NYM,TT,NYM,,3.5,Under,-0.52341,110,2026-08-18T17:10:00Z,,
2026-08-18,824075,ATH,KC,TT,ATH,,3.5,Over,0.30713,-143,2026-08-18T17:10:00Z,,
