date,game_pk,away,home,market,entity,player_id,line,side,proj,price,ts,board,ev
2026-08-19,824318,LAD,COL,TT,COL,,4.5,Over,1.45443,-117,2026-08-19T13:40:00Z,,
2026-08-19,823342,DET,PIT,K,Jackson Jobe,695549,4.5,Over,5.2067,-104,2026-08-19T13:40:00Z,,
2026-08-19,823342,DET,PIT,BB,Jackson Jobe,695549,2.5,Under,1.7773,-199,2026-08-19T13:40:00Z,,
2026-08-19,823342,DET,PIT,ER,Jackson Jobe,695549,2.5,Over,2.778,105,2026-08-19T13:40:00Z,,
2026-08-19,823342,DET,PIT,K,Paul Skenes,694973,6.5,Under,5.5809,-150,2026-08-19T13:40:00Z,,
2026-08-19,823342,DET,PIT,BB,Paul Skenes,694973,1.5,Over,1.5476,115,2026-08-19T13:40:00Z,,
2026-08-19,823342,DET,PIT,ER,Paul Skenes,694973,1.5,Over,2.2722,-130,2026-08-19T13:40:00Z,,
2026-08-19,823587,SD,NYM,K,Michael King,650633,4.5,Over,5.2253,-149,2026-08-19T13:40:00Z,,
2026-08-19,823587,SD,NYM,BB,Michael King,650633,1.5,Over,2.1013,-171,2026-08-19T13:40:00Z,,
2026-08-19,823587,SD,NYM,ER,Michael King,650633,2.5,Under,2.4412,-136,2026-08-19T13:40:00Z,,
2026-08-19,823587,SD,NYM,K,Robert Stock,476594,3.5,Over,4.5152,-145,2026-08-19T13:40:00Z,,
2026-08-19,823587,SD,NYM,BB,Robert Stock,476594,1.5,Over,2.3803,-147,2026-08-19T13:40:00Z,,
2026-08-19,823587,SD,NYM,ER,Robert Stock,476594,2.5,Over,2.6594,117,2026-08-19T13:40:00Z,,
2026-08-19,823664,ATL,MIN,K,AJ Smith-Shawver,700363,4.5,Over,4.7151,123,2026-08-19T13:40:00Z,,
2026-08-19,823664,ATL,MIN,BB,AJ Smith-Shawver,700363,1.5,Over,1.8013,-103,2026-08-19T13:40:00Z,,
