date,market,entity,player_id,team,proj,z,price,rank,pa,on_board
2026-08-17,TB,Rafael Flores,804668,PIT,20.29,0.95599,213,1,47.0,N
2026-08-17,TB,Shohei Ohtani,660271,LAD,9.68,0.91093,-184,2,525.0,Y
2026-08-17,TB,Miguel Vargas,678246,CWS,2.63,0.86998,126,3,533.0,Y
2026-08-17,TB,Luis Campusano,669134,SD,15.66,0.80021,205,4,149.0,Y
2026-08-17,TB,Fernando Tatis,665487,SD,0.42,0.70051,119,5,542.0,Y
2026-08-17,TB,Ty France,664034,SD,5.95,0.68741,160,6,352.0,Y
2026-08-17,TB,Christian Encarnacion-Strand,687952,BAL,-2.48,0.68324,172,7,83.0,N
2026-08-17,TB,Bryce Harper,547180,PHI,4.28,0.6669,111,8,533.0,Y
2026-08-17,TB,Byron Buxton,621439,MIN,-1.42,0.6601,-106,9,376.0,Y
2026-08-17,TB,Gabriel Moreno,672515,AZ,-0.34,0.65433,131,10,400.0,Y
2026-08-17,TB,Junior Caminero,691406,TB,-2.71,0.6503,110,11,538.0,Y
2026-08-17,TB,Liam Hicks,689414,TB,2.41,0.65009,165,12,40.0,N
2026-08-17,TB,Matt Olson,621566,ATL,-0.17,0.64766,-104,13,541.0,Y
2026-08-17,TB,Ryan Jeffers,680777,MIN,0.96,0.64331,133,14,249.0,Y
2026-08-17,TB,Dillon Dingler,693307,DET,-0.51,0.63616,114,15,489.0,Y
2026-08-17,TB,Willson Contreras,575929,BOS,-1.6,0.62871,109,16,464.0,Y
2026-08-17,TB,Francisco Lindor,596019,NYM,0.81,0.59433,127,17,296.0,Y
2026-08-17,TB,Alec Burleson,676475,STL,-1.39,0.59185,-135,18,521.0,Y
2026-08-17,TB,Kyle Schwarber,656941,PHI,3.32,0.55732,-105,19,531.0,Y
2026-08-17,TB,Freddie Freeman,518692,LAD,-0.71,0.55451,-149,20,517.0,Y
2026-08-17,TB,Esmerlyn Valdez,699013,PIT,1.22,0.54964,170,21,222.0,Y
2026-08-17,TB,Drake Baldwin,686948,ATL,-1.53,0.54523,-113,22,448.0,Y
2026-08-17,TB,Max Muncy,571970,LAD,-0.06,0.52588,-118,23,430.0,Y
2026-08-17,TB,Jared Young,676724,NYM,1.29,0.52268,175,24,244.0,N
2026-08-17,TB,JJ Bleday,668709,CIN,-7.54,0.51674,110,25,398.0,N
2026-08-17,TB,Hunter Goodman,696100,COL,6.58,0.51656,130,26,460.0,Y
2026-08-17,TB,Pete Alonso,624413,BAL,-1.83,0.49927,146,27,538.0,N
2026-08-17,TB,Manny Machado,592518,SD,1.82,0.48803,140,28,519.0,N
2026-08-17,TB,Corbin Carroll,682998,AZ,0.35,0.48229,110,29,526.0,N
2026-08-17,TB,Pete Crow-Armstrong,691718,CHC,-1.96,0.457,-104,30,555.0,N
2026-08-17,TB,Sal Stewart,701398,CIN,-0.92,0.42918,-105,31,532.0,N
2026-08-17,TB,Ketel Marte,606466,AZ,-1.49,0.42232,111,32,519.0,N
2026-08-17,TB,Francisco Alvarez,682626,NYM,13.86,0.40817,200,33,319.0,Y
2026-08-17,TB,Munetaka Murakami,808959,CWS,-1.34,0.40645,165,34,383.0,N
2026-08-17,TB,Michael Harris,671739,ATL,0.12,0.39797,-105,35,471.0,N
2026-08-17,TB,Kevin McGonigle,805808,DET,-2.25,0.39225,114,36,541.0,N
2026-08-17,TB,Ronald Acuna,660670,ATL,-1.93,0.36963,-107,37,317.0,N
2026-08-17,TB,Jackson Merrill,701538,SD,4.28,0.36172,140,38,511.0,N
2026-08-17,TB,Wilyer Abreu,677800,BOS,-3.08,0.35249,110,39,525.0,N
2026-08-17,TB,Jonathan Aranda,666018,TB,-0.84,0.33823,125,40,526.0,N
2026-08-17,TB,Xander Bogaerts,593428,SD,7.55,0.33456,200,41,470.0,Y
2026-08-17,TB,Mookie Betts,605141,LAD,0.55,0.33175,-116,42,367.0,N
2026-08-17,TB,Randal Grichuk,545341,CWS,-2.33,0.32709,171,43,33.0,N
2026-08-17,TB,Carson Benge,701807,NYM,1.47,0.32567,157,44,492.0,N
2026-08-17,TB,Gavin Sheets,657757,SD,7.28,0.32344,210,45,394.0,Y
2026-08-17,TB,Royce Lewis,668904,MIN,1.47,0.30325,130,46,369.0,N
2026-08-17,TB,Donovan Walton,622268,ATH,12.79,0.3032,200,47,97.0,N
2026-08-17,TB,Elly De La Cruz,682829,CIN,-2.0,0.30238,120,48,465.0,N
2026-08-17,TB,Elly De La Cruz,682829,CIN,0.82,0.29478,-115,49,465.0,N
2026-08-17,TB,Victor Mesa,683748,TB,0.1,0.29261,155,50,178.0,N
2026-08-17,TB,Cole Carrigg,694249,COL,-0.12,0.27773,130,51,218.0,N
2026-08-17,TB,Bryan Reynolds,668804,PIT,7.23,0.27617,160,52,547.0,Y
2026-08-17,TB,Seiya Suzuki,673548,CHC,0.48,0.26276,131,53,469.0,N
2026-08-17,TB,Heriberto Hernandez,681715,MIA,2.87,0.25736,175,54,338.0,N
2026-08-17,TB,Nolan Arenado,571448,AZ,2.58,0.24191,145,55,458.0,N
2026-08-17,TB,Josh Bell,605137,MIN,9.49,0.23523,165,56,487.0,Y
2026-08-17,TB,Sal Stewart,701398,CIN,-4.19,0.21725,110,57,532.0,N
2026-08-17,TB,Colt Keith,690993,DET,-0.2,0.21423,170,58,352.0,N
2026-08-17,TB,Jordan Walker,691023,STL,-2.74,0.20888,-120,59,512.0,N
2026-08-17,TB,Carlos Cortes,666126,ATH,1.59,0.20781,165,60,279.0,N
2026-08-17,TB,Andy Pages,681624,LAD,-2.35,0.20316,-133,61,533.0,N
2026-08-17,TB,Yandy Diaz,650490,TB,0.16,0.17759,120,62,525.0,N
2026-08-17,TB,A.J. Ewing,805999,NYM,-1.17,0.16162,150,63,346.0,N
2026-08-17,TB,Spencer Torkelson,679529,DET,-4.08,0.15892,153,64,488.0,N
2026-08-17,TB,Adael Amador,691182,COL,6.09,0.15828,210,65,4,N
2026-08-17,TB,Tim Tawa,694374,AZ,10.55,0.14869,192,66,212.0,Y
2026-08-17,TB,Alex Bregman,608324,CHC,-3.54,0.14396,145,67,557.0,N
2026-08-17,TB,Jake McCarthy,664983,COL,1.31,0.12935,123,68,426.0,N
2026-08-17,TB,Luis Rengifo,650859,SD,9.76,0.11439,231,69,108.0,Y
2026-08-17,TB,Gleyber Torres,650402,DET,-3.06,0.11296,143,70,298.0,N
2026-08-17,TB,Kyle Tucker,663656,LAD,0.0,0.08868,104,71,479.0,N
2026-08-17,TB,Geraldo Perdomo,672695,AZ,4.73,0.08431,160,72,521.0,N
2026-08-17,TB,Michael Conforto,624424,CHC,4.58,0.08033,205,73,218.0,N
2026-08-17,TB,Jac Caglianone,695506,KC,-0.51,0.0729,-105,74,450.0,N
2026-08-17,TB,Chase Meidroth,805367,CWS,0.17,0.07166,163,75,497.0,N
2026-08-17,TB,Otto Lopez,672640,MIA,-1.71,0.07129,128,76,525.0,N
2026-08-17,TB,Andruw Monasterio,655316,BOS,0.66,0.0573,161,77,273.0,N
2026-08-17,TB,Mike Yastrzemski,573262,ATL,-3.75,0.05666,158,78,312.0,N
2026-08-17,TB,Tyler Stephenson,663886,CIN,-0.4,0.05634,145,79,339.0,N
2026-08-17,TB,Bryson Stott,681082,PHI,0.54,0.04963,135,80,468.0,N
2026-08-17,TB,Bo Bichette,666182,NYM,-2.97,0.0487,128,81,536.0,N
2026-08-17,TB,Brandon Marsh,669016,PHI,5.14,0.04701,160,82,469.0,N
2026-08-17,TB,TJ Rumfield,681198,COL,5.77,0.04324,165,83,483.0,N
2026-08-17,TB,Alec Bohm,664761,PHI,-2.23,0.02797,138,84,487.0,N
2026-08-17,TB,Willi Castro,650489,COL,0.9,0.02765,151,85,420.0,N
2026-08-17,TB,Luke Keaschall,807712,MIN,2.55,0.02754,170,86,457.0,N
2026-08-17,TB,Kaelen Culpepper,701785,MIN,5.27,0.0094,200,87,29.0,N
2026-08-17,TB,Brandon Lowe,664040,PIT,8.56,0.00777,195,88,518.0,Y
2026-08-17,TB,Jeff McNeil,643446,ATH,-0.22,0.00588,135,89,371.0,N
2026-08-17,TB,Michael Busch,683737,CHC,-2.94,0.00179,128,90,552.0,N
2026-08-17,TB,Austin Martin,668885,MIN,-3.76,-0.00449,146,91,335.0,N
2026-08-17,TB,Marcus Semien,543760,NYM,-0.35,-0.00867,175,92,410.0,N
2026-08-17,TB,Nico Hoerner,663538,CHC,-0.84,-0.02902,165,93,537.0,N
2026-08-17,TB,Gunnar Henderson,683002,BAL,6.23,-0.03784,190,94,558.0,Y
2026-08-17,TB,Lawrence Butler,671732,ATH,0.54,-0.03862,163,95,376.0,N
2026-08-17,TB,Matt McLain,680574,CIN,-2.17,-0.04127,175,96,367.0,N
2026-08-17,TB,Zack Gelof,680869,ATH,-4.63,-0.05196,122,97,273.0,N
2026-08-17,TB,Luis Arraez,650333,PHI,-1.38,-0.05283,120,98,464.0,N
2026-08-17,TB,Tommy Edman,669242,LAD,-1.78,-0.06078,-105,99,181.0,N
2026-08-17,TB,Trea Turner,607208,PHI,-0.78,-0.06647,109,100,533.0,N
2026-08-17,TB,Tyler O'Neill,641933,BAL,-1.64,-0.07245,168,101,243.0,N
2026-08-17,TB,Richie Palacios,680700,TB,2.6,-0.0735,225,102,299.0,N
2026-08-17,TB,JJ Wetherholt,802139,STL,-6.38,-0.07417,100,103,535.0,N
2026-08-17,TB,Ian Happ,664023,CHC,-1.15,-0.07717,155,104,511.0,N
2026-08-17,TB,Teoscar Hernandez,606192,LAD,-2.76,-0.08287,101,105,345.0,N
2026-08-17,TB,Colson Montgomery,695657,CWS,2.39,-0.08322,180,106,495.0,N
2026-08-17,TB,Ivan Herrera,671056,STL,-4.08,-0.08614,120,107,549.0,N
2026-08-17,TB,J.T. Realmuto,592663,PHI,2.53,-0.10444,155,108,349.0,N
2026-08-17,TB,Javier Sanoja,691594,MIA,4.97,-0.10895,175,109,336.0,N
2026-08-17,TB,Esteury Ruiz,665923,MIA,5.55,-0.1094,240,110,171.0,N
2026-08-17,TB,Mauricio Dubon,643289,ATL,-3.23,-0.11619,140,111,475.0,N
2026-08-17,TB,Eugenio Suarez,553993,CIN,-3.08,-0.11625,135,112,367.0,N
2026-08-17,TB,Nick Gonzales,693304,PIT,-4.2,-0.11818,135,113,486.0,N
2026-08-17,TB,Ryan Waldschmidt,814439,AZ,2.44,-0.12567,206,114,211.0,N
2026-08-17,TB,Ceddanne Rafaela,678882,BOS,-2.61,-0.12633,113,115,498.0,N
2026-08-17,TB,Hunter Feduccia,676439,LAD,2.27,-0.12691,151,116,160.0,N
2026-08-17,TB,Alec Burleson,676475,STL,-6.02,-0.13556,110,117,521.0,N
2026-08-17,TB,Brooks Lee,686797,MIN,0.81,-0.14823,176,118,478.0,N
2026-08-17,TB,Braden Montgomery,695731,CWS,8.21,-0.15297,186,119,231.0,Y
2026-08-17,TB,Caleb Durbin,702332,BOS,-4.31,-0.15358,149,120,443.0,N
2026-08-17,TB,Ozzie Albies,645277,ATL,-4.6,-0.1547,127,121,530.0,N
2026-08-17,TB,Bobby Witt,677951,KC,-4.31,-0.15639,-115,122,466.0,N
