date,market,entity,player_id,team,proj,z,price,rank,pa,on_board
2026-08-15,TB,Dylan Crews,686611,WSH,-0.75,0.08893,127,74,294,
2026-08-15,TB,Jose Ramirez,608070,CLE,-0.94,0.11871,120,75,389,
2026-08-15,TB,Nolan Schanuel,694384,LAA,-0.96,0.10224,143,76,430,
2026-08-15,TB,Mauricio Dubon,643289,ATL,-1.07,-0.04989,148,77,471,
2026-08-15,TB,Spencer Torkelson,679529,DET,-1.08,0.03133,150,78,480,
2026-08-15,TB,Heriberto Hernandez,681715,MIA,-1.1,0.23083,133,79,328,
2026-08-15,TB,Randy Arozarena,668227,SEA,-1.17,0.44078,143,80,492,
2026-08-15,TB,Rafael Devers,646240,SF,-1.24,-0.0902,134,81,515,
2026-08-15,TB,Javier Sanoja,691594,MIA,-1.24,-0.11921,140,82,330,
2026-08-15,TB,Junior Caminero,691406,TB,-1.3,0.4604,130,83,530,
2026-08-15,TB,Ty France,664034,SD,-1.36,0.06747,145,84,344,
2026-08-15,TB,Sal Stewart,701398,CIN,-1.49,0.32545,115,85,524,
2026-08-15,TB,Masyn Winn,691026,STL,-1.53,-0.22241,160,86,462,
2026-08-15,TB,Vaughn Grissom,687093,LAA,-1.63,-0.32265,160,87,312,
2026-08-15,TB,Eugenio Suarez,553993,CIN,-1.65,-0.21526,135,88,359,
2026-08-15,TB,Osleivis Basabe,678545,SF,-1.85,-0.07568,175,89,48,
2026-08-15,TB,Wade Meckler,685133,LAA,-1.91,-0.17883,155,90,211,
2026-08-15,TB,Adley Rutschman,668939,BOS,-1.94,-0.94736,150,91,14,
2026-08-15,TB,Ben Rice,700250,NYY,-1.95,0.68225,115,92,500,Y
2026-08-15,TB,Jackson Merrill,701538,SD,-1.97,-0.17948,130,93,504,
2026-08-15,TB,Otto Lopez,672640,MIA,-2.13,0.14208,105,94,515,
2026-08-15,TB,Cole Young,702284,SEA,-2.17,0.35033,133,95,492,
2026-08-15,TB,Isaac Paredes,670623,HOU,-2.37,-0.13663,156,96,493,
2026-08-15,TB,Nathaniel Lowe,663993,CLE,-2.44,0.05923,148,97,29,
2026-08-15,TB,Brady House,691781,WSH,-2.56,0.10547,155,98,237,
2026-08-15,TB,Luis Arraez,650333,PHI,-2.62,-0.39438,123,99,464,
2026-08-15,TB,Alex Bregman,608324,CHC,-2.94,0.16629,129,100,549,
2026-08-15,TB,Bryce Harper,547180,PHI,-3.08,0.02901,141,101,523,
2026-08-15,TB,A.J. Ewing,805999,NYM,-3.11,-0.173,145,102,337,
2026-08-15,TB,Mike Trout,545361,LAA,-3.41,0.18202,126,103,466,
2026-08-15,TB,Jake McCarthy,664983,COL,-3.51,0.16339,132,104,417,
2026-08-15,TB,Manny Machado,592518,SD,-3.52,-0.08436,136,105,510,
2026-08-15,TB,Ceddanne Rafaela,678882,BOS,-3.55,-0.07808,125,106,489,
2026-08-15,TB,Spencer Jones,682987,NYY,-3.68,-0.09557,172,107,148,
2026-08-15,TB,Trent Grisham,663757,NYY,-3.77,0.37201,126,108,407,
2026-08-15,TB,Henry Bolte,703607,ATH,-4.09,-0.25727,140,109,290,
2026-08-15,TB,Yandy Diaz,650490,TB,-4.22,-0.02277,130,110,515,
2026-08-15,TB,Brandon Nimmo,607043,TEX,-4.24,0.06284,111,111,494,
2026-08-15,TB,Corey Seager,608369,TEX,-4.25,0.09998,101,112,270,
2026-08-15,TB,Luis Rengifo,650859,SD,-4.27,-0.31515,146,113,104,
2026-08-15,TB,Josh Lowe,666139,LAA,-4.55,-0.24018,185,114,239,
2026-08-15,TB,Ezequiel Duran,677649,TEX,-4.57,-0.10532,142,115,435,
2026-08-15,TB,Wyatt Langford,694671,TEX,-4.65,0.01471,106,116,303,
2026-08-15,TB,Bryce Eldridge,805811,SF,-4.79,-0.10547,130,117,322,
2026-08-15,TB,Josh Naylor,647304,SEA,-4.84,0.26627,135,118,487,
2026-08-15,TB,Braden Montgomery,695731,CWS,-4.89,-0.06578,180,119,222,
2026-08-15,TB,Trea Turner,607208,PHI,-5.29,-0.1529,110,120,529,
2026-08-15,TB,Jake Burger,669394,TEX,-5.31,-0.07853,130,121,468,
2026-08-15,TB,Moises Ballesteros,694208,LAA,-5.53,-0.13073,155,122,43,
2026-08-15,TB,Alejandro Kirk,672386,TOR,-5.54,0.00182,180,123,182,
2026-08-15,TB,Jonathan Aranda,666018,TB,-5.55,0.18561,138,124,517,
2026-08-15,TB,Brett Baty,683146,NYM,-5.81,-0.36349,201,125,381,
2026-08-15,TB,Jeremy Pena,665161,HOU,-5.94,-0.00971,118,126,327,
2026-08-15,TB,Munetaka Murakami,808959,CWS,-5.96,0.89302,120,127,373,Y
2026-08-15,TB,Gleyber Torres,650402,DET,-6.32,-0.18559,145,128,289,
2026-08-15,TB,Esmerlyn Valdez,699013,PIT,-6.45,0.38769,150,129,213,
2026-08-15,TB,Heliot Ramos,671218,NYY,-6.56,-0.18219,143,130,306,
2026-08-15,TB,Jonny DeLuca,676356,TB,-6.82,-0.41704,160,131,241,
2026-08-15,TB,Zach Neto,687263,LAA,-7.5,-0.41909,138,132,532,
2026-08-15,TB,Evan Carter,694497,TEX,-8.12,-0.44598,150,133,348,
2026-08-15,TB,Chandler Simpson,802415,TB,-8.48,-0.46804,144,134,455,
2026-08-15,TB,Owen Caissie,683357,MIA,-8.83,-0.16372,150,135,278,
2026-08-15,TB,Ryan Jeffers,680777,MIN,-9.08,0.48668,135,136,243,
2026-08-15,TB,Cal Raleigh,663728,SEA,-9.65,-0.08953,145,137,375,
2026-08-15,TB,Jose Altuve,514888,HOU,-13.32,-0.45073,148,138,414,
2026-08-15,TB,Jazz Chisholm Jr.,665862,NYY,-16.77,-0.12747,123,139,447,
2026-08-15,TB,Miguel Vargas,678246,CWS,0,0.94622,150,140,523,Y
2026-08-15,TB,Colson Montgomery,695657,CWS,0,0.09482,170,141,487,
2026-08-15,TB,Chase Meidroth,805367,CWS,0,0.11024,209,142,489,
2026-08-15,TB,Tristan Peters,671976,CWS,0,0.20901,230,143,358,
2026-08-15,TB,Ben Malgeri,701162,DET,0,-0.09918,188,144,64,
2026-08-15,TB,Javier Baez,595879,DET,0,-0.32675,185,145,129,
2026-08-15,TB,Michael Conforto,624424,CHC,0,0.19633,181,146,212,
2026-08-15,TB,Ryan McMahon,641857,NYY,0,-0.06677,163,147,296,
2026-08-15,TB,Brett Bateman,703520,TOR,0,-0.46492,204,148,33,
2026-08-15,TB,Jesus Sanchez,660821,TOR,0,0.39713,245,149,264,
2026-08-15,TB,Kazuma Okamoto,672960,TOR,0,0.2196,210,150,485,
2026-08-15,TB,Andres Gimenez,665926,TOR,0,-0.17973,285,151,402,
2026-08-15,TB,Charles McAdoo,807727,TOR,0,-0.49694,271,152,41,
2026-08-15,TB,Willi Castro,650489,COL,0,-0.0206,185,153,411,
2026-08-15,TB,Connor Norby,681393,COL,0,-0.28287,220,154,233,
2026-08-15,TB,Drew Gilbert,687551,SF,0,-0.37559,180,155,288,
2026-08-15,TB,Drew Cavanaugh,701852,SF,0,-0.82458,230,156,82,
2026-08-15,TB,Harry Ford,695670,WSH,0,-0.12856,215,157,51,
2026-08-15,TB,Jacob Young,696285,WSH,0,0.08358,258,158,368,
2026-08-15,TB,Daylen Lile,695734,WSH,0,0.00617,170,159,504,
2026-08-15,TB,Nasim Nunez,683083,WSH,0,-0.69557,280,160,404,
2026-08-15,TB,Andrew Pinckney,687605,WSH,0,0.69134,223,161,10,
2026-08-15,TB,Marcus Semien,543760,NYM,0,0.07017,180,162,406,
