market,name,team,opp,slot,src,line,p_model,p_mkt,edge,best_price,book,nbooks,date,player_id,game_pk,on_board
TB,JJ Wetherholt,STL,CIN,1,statsapi,1.5,0.4047,0.4408294930875576,-0.03613496923034565,135,fanatics,9,2026-08-20,802139,824474,False
HRR,JJ Wetherholt,STL,CIN,1,statsapi,1.5,0.6124,0.5615899581589958,0.050829260954530775,-132,draftkings,3,2026-08-20,802139,824474,False
TB,Iván Herrera,STL,CIN,2,statsapi,1.5,0.3675,0.4284304932735426,-0.06091054340593843,131,draftkings,9,2026-08-20,671056,824474,False
HRR,Iván Herrera,STL,CIN,2,statsapi,1.5,0.5409,0.5535588288779778,-0.012617132135897102,-127,draftkings,4,2026-08-20,671056,824474,False
TB,Alec Burleson,STL,CIN,3,statsapi,1.5,0.5171,0.5191705069124424,-0.0021060304295579257,-111,draftkings,9,2026-08-20,676475,824474,False
HRR,Alec Burleson,STL,CIN,3,statsapi,2.5,0.4922,0.4451162790697674,0.047111123278092804,119,draftkings,3,2026-08-20,676475,824474,False
TB,Jordan Walker,STL,CIN,4,statsapi,1.5,0.4565,0.4701960784313725,-0.013694850049579432,121,draftkings,9,2026-08-20,691023,824474,False
HRR,Jordan Walker,STL,CIN,4,statsapi,1.5,0.6348,0.5526495726495726,0.0821680029474805,-127,draftkings,3,2026-08-20,691023,824474,False
TB,Joshua Báez,STL,CIN,5,statsapi,1.5,0.3656,0.4284304932735426,-0.06284148194701822,142,draftkings,9,2026-08-20,695491,824474,False
HRR,Joshua Báez,STL,CIN,5,statsapi,1.5,0.5168,0.5148837209302325,0.0018805527796654786,-110,draftkings,3,2026-08-20,695491,824474,False
TB,Nathan Church,STL,CIN,6,statsapi,1.5,0.3563,0.3832848199040572,-0.0270155141360634,160,betrivers,8,2026-08-20,701675,824474,False
HRR,Nathan Church,STL,CIN,6,statsapi,1.5,0.5376,0.4921951219512195,0.04537321866578825,100,draftkings,3,2026-08-20,701675,824474,False
TB,Bryan Torres,STL,CIN,7,statsapi,1.5,0.3571,0.3308771929824561,0.026268917446125695,200,fanatics,6,2026-08-20,663494,824474,False
HRR,Bryan Torres,STL,CIN,7,statsapi,1.5,0.5342,0.4324886877828054,0.10173457090175159,129,draftkings,3,2026-08-20,663494,824474,False
TB,Blaze Jordan,STL,CIN,8,statsapi,1.5,0.3212,0.36691812602903756,-0.045757975122822536,165,betrivers,6,2026-08-20,691458,824474,False
HRR,Blaze Jordan,STL,CIN,8,statsapi,1.5,0.4611,0.475049504950495,-0.013963308936578656,103,draftkings,3,2026-08-20,691458,824474,False
TB,Jimmy Crooks,STL,CIN,9,statsapi,1.5,0.2962,0.33587639311043566,-0.03963118808112159,190,betrivers,6,2026-08-20,699625,824474,False
HRR,Jimmy Crooks,STL,CIN,9,statsapi,1.5,0.4261,0.43662100456621,-0.010521178407552068,126,draftkings,3,2026-08-20,699625,824474,False
TB,Elly De La Cruz,CIN,STL,1,statsapi,1.5,0.4438,0.4701960784313725,-0.026430511198239914,115,fanatics,9,2026-08-20,682829,824474,False
HRR,Elly De La Cruz,CIN,STL,1,statsapi,1.5,0.5889,0.5580590717299578,0.030802409843811773,-129,draftkings,3,2026-08-20,682829,824474,False
TB,Sal Stewart,CIN,STL,2,statsapi,1.5,0.4499,0.4345454545454545,0.015356748894112815,126,draftkings,9,2026-08-20,701398,824474,False
HRR,Sal Stewart,CIN,STL,2,statsapi,1.5,0.5959,0.5526495726495726,0.04329440100996984,-127,draftkings,3,2026-08-20,701398,824474,False
TB,JJ Bleday,CIN,STL,3,statsapi,1.5,0.3948,0.4244444444444444,-0.029641152283172822,138,betrivers,10,2026-08-20,668709,824474,False
HRR,JJ Bleday,CIN,STL,3,statsapi,1.5,0.5196,0.5083018867924528,0.011262628288779664,-108,draftkings,3,2026-08-20,668709,824474,False
TB,Tyler Stephenson,CIN,STL,4,statsapi,1.5,0.4101,0.3976839902336937,0.01245578073780651,150,fanatics,8,2026-08-20,663886,824474,False
HRR,Tyler Stephenson,CIN,STL,4,statsapi,1.5,0.5217,0.5083018867924528,0.013375735547851542,-104,draftkings,3,2026-08-20,663886,824474,False
TB,Matt McLain,CIN,STL,5,statsapi,1.5,0.3495,0.372156862745098,-0.02265707202997186,164,draftkings,6,2026-08-20,680574,824474,False
HRR,Matt McLain,CIN,STL,5,statsapi,1.5,0.4308,0.46780487804878046,-0.03697137522936378,106,draftkings,3,2026-08-20,680574,824474,False
TB,Michael Toglia,CIN,STL,6,statsapi,1.5,0.3576,0.3683861236802413,-0.01079215532910821,165,draftkings,6,2026-08-20,669911,824474,False
HRR,Michael Toglia,CIN,STL,6,statsapi,1.5,0.4665,0.45169811320754716,0.014809449709951461,119,draftkings,3,2026-08-20,669911,824474,False
TB,Dane Myers,CIN,STL,7,statsapi,1.5,0.3248,0.3260249042145594,-0.00117569532206091,204,draftkings,6,2026-08-20,667472,824474,False
HRR,Dane Myers,CIN,STL,7,statsapi,1.5,0.4682,0.4408294930875576,0.027350221426443944,127,draftkings,3,2026-08-20,667472,824474,False
TB,Héctor Rodríguez,CIN,STL,8,statsapi,1.5,0.2923,0.3190804597701149,-0.026829766637764207,210,betmgm,6,2026-08-20,699302,824474,False
HRR,Héctor Rodríguez,CIN,STL,8,statsapi,1.5,0.4051,0.43871559633027524,-0.033638803273494444,126,draftkings,3,2026-08-20,699302,824474,False
TB,Ke'Bryan Hayes,CIN,STL,9,statsapi,1.5,0.2241,0.2876923076923077,-0.06358854120732033,230,draftkings,6,2026-08-20,663647,824474,False
HRR,Ke'Bryan Hayes,CIN,STL,9,statsapi,0.5,0.5473,0.5938478053435114,-0.0465169966558141,-156,draftkings,2,2026-08-20,663647,824474,False
TB,Drew Gilbert,SF,CLE,1,statsapi,1.5,0.3573,0.32493012191495685,0.032407352684203694,205,betrivers,6,2026-08-20,687551,824395,False
HRR,Drew Gilbert,SF,CLE,1,statsapi,1.5,0.4696,0.41123478131563784,0.05838751164525835,137,draftkings,2,2026-08-20,687551,824395,False
TB,Rafael Devers,SF,CLE,2,statsapi,1.5,0.4563,0.39666666666666667,0.0595939362343354,152,draftkings,6,2026-08-20,646240,824395,False
HRR,Rafael Devers,SF,CLE,2,statsapi,1.5,0.5275,0.4324979524979525,0.09503850473483105,125,betmgm,4,2026-08-20,646240,824395,False
TB,Willy Adames,SF,CLE,3,statsapi,1.5,0.4069,0.33714285714285713,0.06972571067437022,200,fanatics,6,2026-08-20,642715,824395,True
HRR,Willy Adames,SF,CLE,3,statsapi,1.5,0.5083,0.4092161738970249,0.09910253442041916,135,betmgm,2,2026-08-20,642715,824395,False
TB,Bryce Eldridge,SF,CLE,4,statsapi,1.5,0.3742,0.3133333333333333,0.060868600593636024,210,fanatics,6,2026-08-20,805811,824395,False
HRR,Bryce Eldridge,SF,CLE,4,statsapi,0.5,0.6896,0.6136996336996337,0.07591711429996362,-162,draftkings,3,2026-08-20,805811,824395,False
TB,Jung Hoo Lee,SF,CLE,5,statsapi,1.5,0.4004,0.33714285714285713,0.06324551527049943,188,betrivers,7,2026-08-20,808982,824395,False
HRR,Jung Hoo Lee,SF,CLE,5,statsapi,1.5,0.4953,0.44296296296296295,0.05231673860558378,137,draftkings,3,2026-08-20,808982,824395,False
TB,Osleivis Basabe,SF,CLE,6,statsapi,1.5,0.3593,0.2975403225806451,0.06172633562212421,225,draftkings,6,2026-08-20,678545,824395,False
HRR,Osleivis Basabe,SF,CLE,6,statsapi,0.5,0.6997,0.6136996336996337,0.0859581967008266,-169,draftkings,3,2026-08-20,678545,824395,False
TB,Turner Hill,SF,CLE,7,statsapi,1.5,0.3237,0.2785074626865671,0.04519613230678693,259,draftkings,6,2026-08-20,806367,824395,False
HRR,Turner Hill,SF,CLE,7,statsapi,0.5,0.6458,0.5878431372549019,0.058005121395314774,-148,draftkings,3,2026-08-20,806367,824395,False
