market,name,team,opp,slot,src,line,p_model,p_mkt,edge,best_price,book,nbooks,date,player_id,game_pk,on_board,actual,settle,units
TB,JJ Wetherholt,STL,CIN,1,statsapi,1.5,0.4009,0.4408294930875576,-0.039948945398586067,127,draftkings,9,2026-08-20,802139,824474,False,1,L,-1.0
HRR,JJ Wetherholt,STL,CIN,1,statsapi,1.5,0.6136,0.5615899581589958,0.05200288821506227,-128,draftkings,3,2026-08-20,802139,824474,False,4,W,0.7812
TB,Iván Herrera,STL,CIN,2,statsapi,1.5,0.3635,0.4284304932735426,-0.06489164005044629,133,draftkings,9,2026-08-20,671056,824474,False,1,L,-1.0
HRR,Iván Herrera,STL,CIN,2,statsapi,1.5,0.5394,0.5535588288779778,-0.01414979022811469,-122,draftkings,4,2026-08-20,671056,824474,False,3,W,0.8197
TB,Alec Burleson,STL,CIN,3,statsapi,1.5,0.5103,0.5254545454545454,-0.015171144511481938,-115,fanatics,9,2026-08-20,676475,824474,False,1,L,-1.0
HRR,Alec Burleson,STL,CIN,3,statsapi,2.5,0.4892,0.4451162790697674,0.04406055436691059,120,betmgm,3,2026-08-20,676475,824474,False,3,W,1.2
TB,Jordan Walker,STL,CIN,4,statsapi,1.5,0.4562,0.4701960784313725,-0.013963651583627223,128,draftkings,9,2026-08-20,691023,824474,False,4,W,1.28
HRR,Jordan Walker,STL,CIN,4,statsapi,1.5,0.6364,0.5526495726495726,0.08379273412593202,-118,draftkings,3,2026-08-20,691023,824474,False,7,W,0.8475
TB,Joshua Báez,STL,CIN,5,statsapi,1.5,0.3523,0.4284304932735426,-0.07617231189188328,151,draftkings,8,2026-08-20,695491,824474,False,0,L,-1.0
HRR,Joshua Báez,STL,CIN,5,statsapi,1.5,0.504,0.5038095238095238,0.00019914379821206474,-101,draftkings,3,2026-08-20,695491,824474,False,1,L,-1.0
TB,Nathan Church,STL,CIN,6,statsapi,1.5,0.3537,0.3809320263538486,-0.027240944088792185,160,betrivers,8,2026-08-20,701675,824474,False,1,L,-1.0
HRR,Nathan Church,STL,CIN,6,statsapi,1.5,0.537,0.47261083743842364,0.06435383222149299,105,betmgm,3,2026-08-20,701675,824474,False,1,L,-1.0
TB,Bryan Torres,STL,CIN,7,statsapi,1.5,0.3529,0.3308771929824561,0.022024370615402744,198,draftkings,6,2026-08-20,663494,824474,False,1,L,-1.0
