market,name,team,opp,slot,src,line,p_model,p_mkt,edge,best_price,book,nbooks,date,player_id,game_pk,on_board
TB,JJ Wetherholt,STL,CIN,1,Expected Lineup,1.5,0.3506,0.4472897196261682,-0.096725592591411,115,fanatics,5,2026-08-17,802139,824514,False
HRR,JJ Wetherholt,STL,CIN,1,Expected Lineup,1.5,0.5522,0.5953846153846154,-0.04320487823302421,-160,betmgm,1,2026-08-17,802139,824514,False
TB,Ivan Herrera,STL,CIN,2,Expected Lineup,1.5,0.3643,0.48,-0.1157081301986913,105,fanatics,5,2026-08-17,671056,824514,False
HRR,Ivan Herrera,STL,CIN,2,Expected Lineup,2.5,0.3205,0.45619047619047615,-0.13565774428989708,110,betmgm,1,2026-08-17,671056,824514,False
TB,Alec Burleson,STL,CIN,3,Expected Lineup,1.5,0.4715,0.5015311004784688,-0.029986661193111996,110,betmgm,5,2026-08-17,676475,824514,False
HRR,Alec Burleson,STL,CIN,3,Expected Lineup,2.5,0.4286,0.46780487804878046,-0.039206555931313336,105,betmgm,1,2026-08-17,676475,824514,False
TB,Jordan Walker,STL,CIN,4,Expected Lineup,1.5,0.4374,0.5148837209302325,-0.0775330108174841,105,fanatics,5,2026-08-17,691023,824514,False
HRR,Jordan Walker,STL,CIN,4,Expected Lineup,2.5,0.4043,0.48,-0.07566563782133462,100,betmgm,1,2026-08-17,691023,824514,False
TB,Joshua Baez,STL,CIN,5,Expected Lineup,1.5,0.3871,0.4345454545454545,-0.04748760181587225,130,fanatics,5,2026-08-17,695491,824514,False
HRR,Joshua Baez,STL,CIN,5,Expected Lineup,1.5,0.5379,0.58,-0.042123899867788195,-150,betmgm,1,2026-08-17,695491,824514,False
TB,Nathan Church,STL,CIN,6,Expected Lineup,1.5,0.3162,0.38,-0.06378021488158608,150,fanatics,1,2026-08-17,701675,824514,False
TB,Masyn Winn,STL,CIN,7,Expected Lineup,1.5,0.2728,0.41478260869565214,-0.14194969717261247,145,fanatics,5,2026-08-17,691026,824514,False
HRR,Masyn Winn,STL,CIN,7,Expected Lineup,1.5,0.4304,0.554468085106383,-0.12410158309945774,-135,betmgm,1,2026-08-17,691026,824514,False
TB,Jose Fermin,STL,CIN,9,Expected Lineup,1.5,0.2724,0.39666666666666667,-0.12424676465808465,185,fanatics,3,2026-08-17,665877,824514,False
TB,Elly De La Cruz,CIN,STL,1,statsapi,1.5,0.4416,0.4451162790697674,-0.003524212206755306,120,betmgm,7,2026-08-17,682829,824514,False
HRR,Elly De La Cruz,CIN,STL,1,statsapi,1.5,0.6079,0.568477366255144,0.03937377361629735,-140,draftkings,3,2026-08-17,682829,824514,False
TB,Sal Stewart,CIN,STL,2,statsapi,1.5,0.4184,0.4654368932038835,-0.047068562631643385,110,betmgm,7,2026-08-17,701398,824514,False
HRR,Sal Stewart,CIN,STL,2,statsapi,1.5,0.6037,0.568477366255144,0.03527230916935309,-140,draftkings,3,2026-08-17,701398,824514,False
TB,Tyler Stephenson,CIN,STL,3,statsapi,1.5,0.379,0.420562833575934,-0.04157767317967237,145,draftkings,6,2026-08-17,663886,824514,False
HRR,Tyler Stephenson,CIN,STL,3,statsapi,1.5,0.5281,0.5105164319248826,0.01754356841182869,-107,draftkings,3,2026-08-17,663886,824514,False
TB,Eugenio Suárez,CIN,STL,4,statsapi,1.5,0.3547,0.40197097836731055,-0.04726339329881668,145,fanatics,4,2026-08-17,553993,824514,False
HRR,Eugenio Suárez,CIN,STL,4,statsapi,1.5,0.4794,0.48495049504950494,-0.005600292720062128,100,betmgm,3,2026-08-17,553993,824514,False
TB,Dane Myers,CIN,STL,5,statsapi,1.5,0.3351,0.369936150805716,-0.0348475416886464,170,fanatics,4,2026-08-17,667472,824514,False
HRR,Dane Myers,CIN,STL,5,statsapi,1.5,0.4953,0.48,0.015281024159093493,100,williamhill_us,3,2026-08-17,667472,824514,False
TB,Michael Toglia,CIN,STL,6,statsapi,1.5,0.3371,0.3686792452830189,-0.031595988581888446,165,betmgm,2,2026-08-17,669911,824514,False
HRR,Michael Toglia,CIN,STL,6,statsapi,1.5,0.4823,0.48,0.002253033150830197,100,betmgm,1,2026-08-17,669911,824514,False
