market,name,team,opp,slot,src,line,p_model,p_mkt,edge,best_price,book,nbooks,date,player_id,game_pk,on_board,actual,settle,units
TB,Ronald Acuña Jr.,ATL,MIL,1,statsapi,1.5,0.3054,0.347890714817069,-0.04249554271723227,195,betmgm,6,2026-08-21,660670,823746,False,0,L,-1.0
HRR,Ronald Acuña Jr.,ATL,MIL,1,statsapi,1.5,0.444,0.4244444444444444,0.019524571036064198,125,williamhill_us,2,2026-08-21,660670,823746,False,1,L,-1.0
TB,Drake Baldwin,ATL,MIL,2,statsapi,1.5,0.2805,0.34363636363636363,-0.06309315181501174,225,fanatics,6,2026-08-21,686948,823746,False,0,L,-1.0
HRR,Drake Baldwin,ATL,MIL,2,statsapi,0.5,0.6647,0.5976466295988208,0.06708535857961506,-151,draftkings,2,2026-08-21,686948,823746,False,0,L,-1.0
TB,Matt Olson,ATL,MIL,3,statsapi,1.5,0.3276,0.34363636363636363,-0.01605116732515177,200,fanatics,6,2026-08-21,621566,823746,False,1,L,-1.0
HRR,Matt Olson,ATL,MIL,3,statsapi,0.5,0.6355,0.556271186440678,0.07920256618392363,-128,draftkings,3,2026-08-21,621566,823746,False,1,W,0.7812
TB,Michael Harris II,ATL,MIL,4,statsapi,1.5,0.3128,0.33714285714285713,-0.0243209889595829,200,fanatics,6,2026-08-21,671739,823746,False,3,W,2.0
HRR,Michael Harris II,ATL,MIL,4,statsapi,0.5,0.6501,0.6136996336996337,0.03640682326534883,-146,draftkings,3,2026-08-21,671739,823746,False,3,W,0.6849
TB,Ozzie Albies,ATL,MIL,5,statsapi,1.5,0.2374,0.2741176470588235,-0.03666906850591892,262,draftkings,6,2026-08-21,645277,823746,False,0,L,-1.0
HRR,Ozzie Albies,ATL,MIL,5,statsapi,0.5,0.5808,0.556271186440678,0.02456512174137404,-118,draftkings,3,2026-08-21,645277,823746,False,0,L,-1.0
TB,Mauricio Dubón,ATL,MIL,6,statsapi,1.5,0.2667,0.24685643123999287,0.019872936397340252,295,betrivers,6,2026-08-21,643289,823746,False,2,W,2.95
HRR,Mauricio Dubón,ATL,MIL,6,statsapi,0.5,0.6523,0.5665302642796248,0.08578597555781564,-130,draftkings,2,2026-08-21,643289,823746,False,2,W,0.7692
TB,Dominic Smith,ATL,MIL,7,statsapi,1.5,0.2112,0.23316455696202534,-0.021999057686204443,350,fanatics,6,2026-08-21,642086,823746,False,1,L,-1.0
HRR,Dominic Smith,ATL,MIL,7,statsapi,0.5,0.5842,0.4873891625615764,0.09685836657611913,100,betmgm,3,2026-08-21,642086,823746,False,1,W,1.0
