market,name,team,opp,slot,src,line,p_model,p_mkt,edge,best_price,book,nbooks,date,player_id,game_pk,on_board
TB,Trent Grisham,NYY,BAL,1,Expected Lineup,1.5,0.4418,0.44191593770002136,-0.00010171460813657163,135,betmgm,8,2026-08-18,663757,824803,False
HRR,Trent Grisham,NYY,BAL,1,Expected Lineup,1.5,0.5681,0.513594259621657,0.05447489822250595,-105,betmgm,4,2026-08-18,663757,824803,False
TB,Ben Rice,NYY,BAL,2,Expected Lineup,1.5,0.4784,0.45619047619047615,0.022243622691353215,117,betrivers,9,2026-08-18,700250,824803,False
HRR,Ben Rice,NYY,BAL,2,Expected Lineup,1.5,0.6158,0.5580590717299578,0.05773745338688063,-124,draftkings,3,2026-08-18,700250,824803,False
TB,Spencer Jones,NYY,BAL,3,Expected Lineup,1.5,0.4117,0.32847013113161727,0.08326695187734023,190,betrivers,6,2026-08-18,682987,824803,True
HRR,Spencer Jones,NYY,BAL,3,Expected Lineup,1.5,0.5225,0.4324886877828054,0.08997606159883181,132,draftkings,3,2026-08-18,682987,824803,False
TB,Luis Garcia,NYY,BAL,4,Expected Lineup,1.5,0.5365,0.4345454545454545,0.10196238188081946,123,betrivers,9,2026-08-18,671277,824803,True
HRR,Luis Garcia,NYY,BAL,4,Expected Lineup,1.5,0.6568,0.5355555555555556,0.1212795716942,-119,draftkings,3,2026-08-18,671277,824803,True
TB,Jazz Chisholm,NYY,BAL,5,Expected Lineup,1.5,0.3654,0.3973913043478261,-0.03199288199282313,155,fanatics,6,2026-08-18,665862,824803,False
HRR,Jazz Chisholm,NYY,BAL,5,Expected Lineup,1.5,0.5018,0.4701960784313725,0.031609478017953385,115,betmgm,3,2026-08-18,665862,824803,False
TB,Heliot Ramos,NYY,BAL,6,Expected Lineup,1.5,0.3707,0.4345454545454545,-0.06387461084712198,120,betmgm,9,2026-08-18,671218,824803,False
HRR,Heliot Ramos,NYY,BAL,6,Expected Lineup,1.5,0.4736,0.5295495495495496,-0.055910366031311,-120,betmgm,3,2026-08-18,671218,824803,False
TB,Ryan McMahon,NYY,BAL,7,Expected Lineup,1.5,0.3595,0.33401002506265665,0.025449591020959172,193,draftkings,6,2026-08-18,641857,824803,False
HRR,Ryan McMahon,NYY,BAL,7,Expected Lineup,0.5,0.6953,0.6163636363636363,0.07894182866001831,-175,betmgm,3,2026-08-18,641857,824803,False
TB,Austin Wells,NYY,BAL,8,Expected Lineup,1.5,0.2693,0.3133333333333333,-0.04407045972634144,210,betmgm,3,2026-08-18,669224,824803,False
HRR,Austin Wells,NYY,BAL,8,Expected Lineup,0.5,0.6304,0.5908949416342413,0.03952130676972376,-154,draftkings,3,2026-08-18,669224,824803,False
TB,George Lombard,NYY,BAL,9,Expected Lineup,1.5,0.3111,0.3609869375907112,-0.04993657595176998,169,draftkings,4,2026-08-18,806146,824803,False
HRR,George Lombard,NYY,BAL,9,Expected Lineup,1.5,0.4381,0.4584688995215311,-0.02033985269742483,115,betmgm,3,2026-08-18,806146,824803,False
TB,Tyler O'Neill,BAL,NYY,1,Expected Lineup,1.5,0.3287,0.38816326530612244,-0.05947989953022681,156,draftkings,7,2026-08-18,641933,824803,False
HRR,Tyler O'Neill,BAL,NYY,1,Expected Lineup,1.5,0.4615,0.48495049504950494,-0.023499934598704808,108,draftkings,3,2026-08-18,641933,824803,False
TB,Pete Alonso,BAL,NYY,2,Expected Lineup,1.5,0.3643,0.43871559633027524,-0.074376669038977,135,fanatics,9,2026-08-18,624413,824803,False
HRR,Pete Alonso,BAL,NYY,2,Expected Lineup,1.5,0.527,0.5191705069124424,0.007859695275362122,-107,draftkings,3,2026-08-18,624413,824803,False
TB,Jackson Holliday,BAL,NYY,3,Expected Lineup,1.5,0.3296,0.36343108504398824,-0.033874611860319204,190,fanatics,6,2026-08-18,702616,824803,False
HRR,Jackson Holliday,BAL,NYY,3,Expected Lineup,1.5,0.4754,0.4630917874396135,0.012352357182209728,118,draftkings,3,2026-08-18,702616,824803,False
TB,Coby Mayo,BAL,NYY,4,Expected Lineup,1.5,0.3404,0.372156862745098,-0.031719932548316565,180,fanatics,6,2026-08-18,691723,824803,False
HRR,Coby Mayo,BAL,NYY,4,Expected Lineup,1.5,0.4566,0.4539336492890995,0.0026395681680906335,120,draftkings,3,2026-08-18,691723,824803,False
TB,Gunnar Henderson,BAL,NYY,5,Expected Lineup,1.5,0.3274,0.4113543599257885,-0.08393234124104787,155,fanatics,6,2026-08-18,683002,824803,False
HRR,Gunnar Henderson,BAL,NYY,5,Expected Lineup,1.5,0.4339,0.48495049504950494,-0.05105491570815113,100,betmgm,3,2026-08-18,683002,824803,False
TB,Christian Encarnacion-Strand,BAL,NYY,6,Expected Lineup,1.5,0.3286,0.3646153846153846,-0.03598539660118144,160,betrivers,6,2026-08-18,687952,824803,False
