market,name,team,opp,slot,src,line,p_model,p_mkt,edge,best_price,book,nbooks,date,player_id,game_pk,on_board
TB,Brett Bateman,TOR,NYY,1,statsapi,1.5,0.4079,0.3079569892473118,0.09997225870377063,218,draftkings,6,2026-08-22,703520,823509,True
HRR,Brett Bateman,TOR,NYY,1,statsapi,1.5,0.5538,0.44296296296296295,0.11082637461928174,125,draftkings,3,2026-08-22,703520,823509,False
TB,Vladimir Guerrero Jr.,TOR,NYY,2,statsapi,1.5,0.3515,0.403728813559322,-0.05219350822745461,145,betrivers,9,2026-08-22,665489,823509,False
HRR,Vladimir Guerrero Jr.,TOR,NYY,2,statsapi,1.5,0.5186,0.5127102803738317,0.005868001769969156,-107,draftkings,3,2026-08-22,665489,823509,False
TB,Alejandro Kirk,TOR,NYY,3,statsapi,1.5,0.37,0.37780456170320453,-0.007839734664908171,170,betrivers,8,2026-08-22,672386,823509,False
HRR,Alejandro Kirk,TOR,NYY,3,statsapi,1.5,0.5305,0.48495049504950494,0.045534756502715545,106,draftkings,3,2026-08-22,672386,823509,False
TB,George Springer,TOR,NYY,4,statsapi,1.5,0.3355,0.33973084886128363,-0.0042203878911188375,180,betrivers,6,2026-08-22,543807,823509,False
HRR,George Springer,TOR,NYY,4,statsapi,1.5,0.4618,0.46780487804878046,-0.006026658513283101,113,draftkings,3,2026-08-22,543807,823509,False
TB,Kazuma Okamoto,TOR,NYY,5,statsapi,1.5,0.3567,0.35602487984167375,0.0006812334954156007,185,betrivers,6,2026-08-22,672960,823509,False
HRR,Kazuma Okamoto,TOR,NYY,5,statsapi,1.5,0.4985,0.4451162790697674,0.053432179844120575,115,williamhill_us,3,2026-08-22,672960,823509,False
TB,Ernie Clement,TOR,NYY,6,statsapi,1.5,0.3599,0.3707203907203907,-0.010818853503792525,185,betrivers,8,2026-08-22,676391,823509,False
HRR,Ernie Clement,TOR,NYY,6,statsapi,1.5,0.4848,0.4654368932038835,0.01939454325655715,110,draftkings,3,2026-08-22,676391,823509,False
TB,Daz Cameron,TOR,NYY,7,statsapi,1.5,0.3416,0.2905440539239287,0.05105091820072427,236,draftkings,4,2026-08-22,663662,823509,False
HRR,Daz Cameron,TOR,NYY,7,statsapi,0.5,0.6885,0.5862992125984252,0.10219439734898994,-140,draftkings,3,2026-08-22,663662,823509,False
TB,Charles McAdoo,TOR,NYY,8,statsapi,1.5,0.3028,0.2974603174603174,0.005349585749722385,254,draftkings,5,2026-08-22,807727,823509,False
HRR,Charles McAdoo,TOR,NYY,8,statsapi,0.5,0.6645,0.6054681647940074,0.05898286920728801,-160,betmgm,3,2026-08-22,807727,823509,False
TB,Myles Straw,TOR,NYY,9,statsapi,1.5,0.2525,0.24666666666666667,0.0058424629417462015,280,fanatics,6,2026-08-22,664702,823509,False
HRR,Myles Straw,TOR,NYY,9,statsapi,0.5,0.5925,0.5878431372549019,0.0046612854798274705,-139,draftkings,3,2026-08-22,664702,823509,False
TB,Trent Grisham,NYY,TOR,1,statsapi,1.5,0.3013,0.33714285714285713,-0.03579436057391788,200,fanatics,6,2026-08-22,663757,823509,False
