date,game,team,line,side,p_model,p_mkt,edge,price,book,nb,mean,lineup,game_pk,on_board
2026-08-17,STL@CIN G2,STL,8.5,Over,0.147,0.172,-0.025,450,williamhill_us,1,5.07,Expected Lineup,824478,False
2026-08-17,STL@CIN G2,STL,8.5,Under,0.853,0.828,0.025,-700,williamhill_us,1,5.07,Expected Lineup,824478,False
2026-08-17,STL@CIN G2,CIN,2.5,Over,0.624,0.706,-0.082,-300,williamhill_us,1,3.67,Expected Lineup,824478,False
2026-08-17,STL@CIN G2,CIN,2.5,Under,0.376,0.294,0.082,220,williamhill_us,1,3.67,Expected Lineup,824478,False
2026-08-17,STL@CIN G2,CIN,3.5,Over,0.464,0.582,-0.118,-162,williamhill_us,1,3.67,Expected Lineup,824478,False
2026-08-17,STL@CIN G2,CIN,3.5,Under,0.536,0.418,0.118,125,williamhill_us,1,3.67,Expected Lineup,824478,False
2026-08-17,STL@CIN G2,CIN,4.5,Over,0.325,0.447,-0.123,116,fanduel,3,3.67,Expected Lineup,824478,False
2026-08-17,STL@CIN G2,CIN,4.5,Under,0.675,0.553,0.123,-140,betmgm,3,3.67,Expected Lineup,824478,True
2026-08-17,STL@CIN G2,CIN,5.5,Over,0.22,0.333,-0.113,180,williamhill_us,1,3.67,Expected Lineup,824478,False
2026-08-17,STL@CIN G2,CIN,5.5,Under,0.78,0.667,0.113,-250,williamhill_us,1,3.67,Expected Lineup,824478,False
2026-08-17,STL@CIN G2,CIN,6.5,Over,0.139,0.25,-0.111,275,williamhill_us,1,3.67,Expected Lineup,824478,False
2026-08-17,STL@CIN G2,CIN,6.5,Under,0.861,0.75,0.111,-400,williamhill_us,1,3.67,Expected Lineup,824478,False
2026-08-17,STL@CIN G2,CIN,7.5,Over,0.085,0.172,-0.087,450,williamhill_us,1,3.67,Expected Lineup,824478,False
2026-08-17,STL@CIN G2,CIN,7.5,Under,0.915,0.828,0.087,-700,williamhill_us,1,3.67,Expected Lineup,824478,False
2026-08-17,STL@CIN G2,CIN,8.5,Over,0.05,0.133,-0.083,600,williamhill_us,1,3.67,Expected Lineup,824478,False
2026-08-17,STL@CIN G2,CIN,8.5,Under,0.95,0.867,0.083,-1400,williamhill_us,1,3.67,Expected Lineup,824478,False
2026-08-17,BAL@TB,BAL,2.5,Over,0.569,0.605,-0.036,-182,williamhill_us,1,3.38,Expected Lineup,822939,False
2026-08-17,BAL@TB,BAL,2.5,Under,0.431,0.395,0.036,137,williamhill_us,1,3.38,Expected Lineup,822939,False
2026-08-17,BAL@TB,BAL,3.5,Over,0.416,0.469,-0.053,102,fanduel,5,3.38,Expected Lineup,822939,False
2026-08-17,BAL@TB,BAL,3.5,Under,0.584,0.531,0.053,-120,betrivers,5,3.38,Expected Lineup,822939,True
2026-08-17,BAL@TB,BAL,4.5,Over,0.288,0.349,-0.061,170,williamhill_us,1,3.38,Expected Lineup,822939,False
2026-08-17,BAL@TB,BAL,4.5,Under,0.712,0.651,0.061,-225,williamhill_us,1,3.38,Expected Lineup,822939,False
2026-08-17,BAL@TB,BAL,5.5,Over,0.191,0.253,-0.061,270,williamhill_us,1,3.38,Expected Lineup,822939,False
2026-08-17,BAL@TB,BAL,5.5,Under,0.809,0.747,0.061,-400,williamhill_us,1,3.38,Expected Lineup,822939,False
2026-08-17,BAL@TB,BAL,6.5,Over,0.122,0.172,-0.05,450,williamhill_us,1,3.38,Expected Lineup,822939,False
2026-08-17,BAL@TB,BAL,6.5,Under,0.878,0.828,0.05,-700,williamhill_us,1,3.38,Expected Lineup,822939,False
2026-08-17,BAL@TB,BAL,7.5,Over,0.073,0.126,-0.054,650,williamhill_us,1,3.38,Expected Lineup,822939,False
2026-08-17,BAL@TB,BAL,7.5,Under,0.927,0.874,0.054,-1200,williamhill_us,1,3.38,Expected Lineup,822939,False
2026-08-17,BAL@TB,BAL,8.5,Over,0.043,0.098,-0.055,850,williamhill_us,1,3.38,Expected Lineup,822939,False
2026-08-17,BAL@TB,BAL,8.5,Under,0.957,0.902,0.055,-3300,williamhill_us,1,3.38,Expected Lineup,822939,False
2026-08-17,BAL@TB,TB,2.5,Over,0.739,0.706,0.033,-300,williamhill_us,1,4.62,Expected Lineup,822939,False
2026-08-17,BAL@TB,TB,2.5,Under,0.261,0.294,-0.033,220,williamhill_us,1,4.62,Expected Lineup,822939,False
2026-08-17,BAL@TB,TB,3.5,Over,0.598,0.576,0.021,-162,williamhill_us,1,4.62,Expected Lineup,822939,False
2026-08-17,BAL@TB,TB,3.5,Under,0.402,0.424,-0.021,120,williamhill_us,1,4.62,Expected Lineup,822939,False
