date,game,team,line,side,p_model,p_mkt,edge,price,book,nb,mean,lineup,on_board,actual,settle,units
2026-08-16,WSH@NYM,WSH,4.5,Over,0.445,0.391,0.054,145,betrivers,2,4.5,CONF (statsapi),False,3,L,-1.0
2026-08-16,WSH@NYM,WSH,4.5,Under,0.555,0.609,-0.054,-182,williamhill_us,2,4.5,CONF (statsapi),False,3,W,0.5495
2026-08-16,WSH@NYM,NYM,3.5,Over,0.584,0.622,-0.038,-186,betrivers,2,4.49,CONF (statsapi),False,4,W,0.5376
2026-08-16,WSH@NYM,NYM,3.5,Under,0.416,0.378,0.038,150,williamhill_us,2,4.49,CONF (statsapi),False,4,L,-1.0
2026-08-16,WSH@NYM,NYM,4.5,Over,0.445,0.5,-0.055,-104,betrivers,5,4.49,CONF (statsapi),False,4,L,-1.0
2026-08-16,WSH@NYM,NYM,4.5,Under,0.555,0.5,0.055,-111,fanduel,5,4.49,CONF (statsapi),False,4,W,0.9009
2026-08-16,WSH@NYM,NYM,5.5,Over,0.321,0.373,-0.053,163,betrivers,2,4.49,CONF (statsapi),False,4,L,-1.0
2026-08-16,WSH@NYM,NYM,5.5,Under,0.679,0.627,0.053,-187,williamhill_us,2,4.49,CONF (statsapi),False,4,W,0.5348
2026-08-16,SD@CLE,SD,3.5,Over,0.498,0.563,-0.065,-148,fanduel,3,3.9,CONF (statsapi),False,5,W,0.6757
2026-08-16,SD@CLE,SD,3.5,Under,0.502,0.437,0.065,120,betrivers,3,3.9,CONF (statsapi),False,5,L,-1.0
2026-08-16,SD@CLE,SD,4.5,Over,0.365,0.439,-0.074,115,williamhill_us,4,3.9,CONF (statsapi),False,5,W,1.15
2026-08-16,SD@CLE,SD,4.5,Under,0.635,0.561,0.074,-141,betrivers,4,3.9,CONF (statsapi),True,5,L,-1.0
2026-08-16,SD@CLE,SD,5.5,Over,0.254,0.333,-0.079,185,betrivers,2,3.9,CONF (statsapi),False,5,L,-1.0
2026-08-16,SD@CLE,SD,5.5,Under,0.746,0.667,0.079,-235,betrivers,2,3.9,CONF (statsapi),False,5,W,0.4255
2026-08-16,SD@CLE,CLE,2.5,Over,0.689,0.673,0.016,-225,williamhill_us,2,4.14,CONF (statsapi),False,0,L,-1.0
2026-08-16,SD@CLE,CLE,2.5,Under,0.311,0.327,-0.016,205,betrivers,2,4.14,CONF (statsapi),False,0,W,2.05
2026-08-16,SD@CLE,CLE,3.5,Over,0.54,0.531,0.009,-125,fanduel,5,4.14,CONF (statsapi),False,0,L,-1.0
2026-08-16,SD@CLE,CLE,3.5,Under,0.46,0.469,-0.009,110,betrivers,5,4.14,CONF (statsapi),False,0,W,1.1
2026-08-16,SD@CLE,CLE,4.5,Over,0.396,0.397,-0.002,140,williamhill_us,2,4.14,CONF (statsapi),False,0,L,-1.0
2026-08-16,SD@CLE,CLE,4.5,Under,0.604,0.603,0.002,-167,betrivers,2,4.14,CONF (statsapi),False,0,W,0.5988
2026-08-16,CWS@DET,CWS,2.5,Over,0.729,0.672,0.057,-250,williamhill_us,2,4.64,CONF (statsapi),False,7,W,0.4
2026-08-16,CWS@DET,CWS,2.5,Under,0.271,0.328,-0.057,200,betrivers,2,4.64,CONF (statsapi),False,7,L,-1.0
2026-08-16,CWS@DET,CWS,3.5,Over,0.595,0.545,0.05,-133,williamhill_us,5,4.64,CONF (statsapi),False,7,W,0.7519
2026-08-16,CWS@DET,CWS,3.5,Under,0.405,0.455,-0.05,110,draftkings,5,4.64,CONF (statsapi),False,7,L,-1.0
2026-08-16,CWS@DET,CWS,4.5,Over,0.463,0.409,0.053,130,williamhill_us,2,4.64,CONF (statsapi),False,7,W,1.3
2026-08-16,CWS@DET,CWS,4.5,Under,0.537,0.591,-0.053,-162,betrivers,2,4.64,CONF (statsapi),False,7,L,-1.0
2026-08-16,CWS@DET,DET,2.5,Over,0.683,0.689,-0.006,-275,williamhill_us,2,4.12,CONF (statsapi),False,5,W,0.3636
2026-08-16,CWS@DET,DET,2.5,Under,0.317,0.311,0.006,215,betrivers,2,4.12,CONF (statsapi),False,5,L,-1.0
2026-08-16,CWS@DET,DET,3.5,Over,0.533,0.551,-0.018,-136,fanduel,5,4.12,CONF (statsapi),False,5,W,0.7353
2026-08-16,CWS@DET,DET,3.5,Under,0.467,0.449,0.018,115,betrivers,5,4.12,CONF (statsapi),False,5,L,-1.0
2026-08-16,CWS@DET,DET,4.5,Over,0.392,0.416,-0.023,130,williamhill_us,2,4.12,CONF (statsapi),False,5,W,1.3
