date,game,team,line,side,p_model,p_mkt,edge,price,book,nb,mean,lineup,game_pk,pay,ev,on_board
2026-08-19,DET@PIT,DET,2.5,Over,0.699,0.625,0.074,-200,williamhill_us,1,4.4,Expected Lineup,823342,0.5,0.0485,False
2026-08-19,DET@PIT,DET,2.5,Under,0.301,0.375,-0.074,150,williamhill_us,1,4.4,Expected Lineup,823342,1.5,-0.2475,False
2026-08-19,DET@PIT,DET,3.5,Over,0.561,0.487,0.074,-105,williamhill_us,5,4.4,Expected Lineup,823342,0.9524,0.0953,True
2026-08-19,DET@PIT,DET,3.5,Under,0.439,0.513,-0.074,-115,draftkings,5,4.4,Expected Lineup,823342,0.8696,-0.1793,False
2026-08-19,DET@PIT,DET,4.5,Over,0.428,0.366,0.062,160,williamhill_us,1,4.4,Expected Lineup,823342,1.6,0.1128,False
2026-08-19,DET@PIT,DET,4.5,Under,0.572,0.634,-0.062,-200,williamhill_us,1,4.4,Expected Lineup,823342,0.5,-0.142,False
2026-08-19,DET@PIT,DET,5.5,Over,0.316,0.269,0.047,250,williamhill_us,1,4.4,Expected Lineup,823342,2.5,0.106,False
2026-08-19,DET@PIT,DET,5.5,Under,0.684,0.731,-0.047,-350,williamhill_us,1,4.4,Expected Lineup,823342,0.2857,-0.1206,False
2026-08-19,DET@PIT,DET,6.5,Over,0.225,0.197,0.027,375,williamhill_us,1,4.4,Expected Lineup,823342,3.75,0.0688,False
2026-08-19,DET@PIT,DET,6.5,Under,0.775,0.803,-0.027,-600,williamhill_us,1,4.4,Expected Lineup,823342,0.1667,-0.0958,False
2026-08-19,DET@PIT,DET,7.5,Over,0.152,0.145,0.007,550,williamhill_us,1,4.4,Expected Lineup,823342,5.5,-0.012,False
2026-08-19,DET@PIT,DET,7.5,Under,0.848,0.855,-0.007,-1000,williamhill_us,1,4.4,Expected Lineup,823342,0.1,-0.0672,False
2026-08-19,DET@PIT,DET,8.5,Over,0.099,0.104,-0.005,800,williamhill_us,1,4.4,Expected Lineup,823342,8.0,-0.109,False
