date,game,team,line,side,p_model,p_mkt,edge,price,book,nb,mean,lineup,game_pk,on_board,actual,settle,units
2026-08-17,STL@CIN G2,STL,5.5,Under,0.604,0.594,0.01,-175,williamhill_us,1,5.06,Expected Lineup,824478,False,5,W,0.5714
2026-08-17,STL@CIN G2,STL,6.5,Over,0.292,0.312,-0.021,200,williamhill_us,1,5.06,Expected Lineup,824478,False,5,L,-1.0
2026-08-17,STL@CIN G2,STL,6.5,Under,0.708,0.688,0.021,-275,williamhill_us,1,5.06,Expected Lineup,824478,False,5,W,0.3636
2026-08-17,STL@CIN G2,STL,7.5,Over,0.207,0.234,-0.027,300,williamhill_us,1,5.06,Expected Lineup,824478,False,5,L,-1.0
2026-08-17,STL@CIN G2,STL,7.5,Under,0.793,0.766,0.027,-450,williamhill_us,1,5.06,Expected Lineup,824478,False,5,W,0.2222
2026-08-17,STL@CIN G2,STL,8.5,Over,0.143,0.17,-0.027,450,williamhill_us,1,5.06,Expected Lineup,824478,False,5,L,-1.0
2026-08-17,STL@CIN G2,STL,8.5,Under,0.857,0.83,0.027,-800,williamhill_us,1,5.06,Expected Lineup,824478,False,5,W,0.125
2026-08-17,STL@CIN G2,CIN,2.5,Over,0.622,0.706,-0.084,-300,williamhill_us,1,3.68,Expected Lineup,824478,False,6,W,0.3333
2026-08-17,STL@CIN G2,CIN,2.5,Under,0.378,0.294,0.084,220,williamhill_us,1,3.68,Expected Lineup,824478,False,6,L,-1.0
2026-08-17,STL@CIN G2,CIN,3.5,Over,0.467,0.576,-0.11,-162,williamhill_us,1,3.68,Expected Lineup,824478,False,6,W,0.6173
2026-08-17,STL@CIN G2,CIN,3.5,Under,0.533,0.424,0.11,120,williamhill_us,1,3.68,Expected Lineup,824478,False,6,L,-1.0
2026-08-17,STL@CIN G2,CIN,4.5,Over,0.326,0.447,-0.121,114,fanduel,5,3.68,Expected Lineup,824478,False,6,W,1.14
2026-08-17,STL@CIN G2,CIN,4.5,Under,0.674,0.553,0.121,-139,betrivers,5,3.68,Expected Lineup,824478,True,6,L,-1.0
2026-08-17,STL@CIN G2,CIN,5.5,Over,0.22,0.333,-0.113,180,williamhill_us,1,3.68,Expected Lineup,824478,False,6,W,1.8
2026-08-17,STL@CIN G2,CIN,5.5,Under,0.78,0.667,0.113,-250,williamhill_us,1,3.68,Expected Lineup,824478,False,6,L,-1.0
2026-08-17,STL@CIN G2,CIN,6.5,Over,0.141,0.248,-0.106,280,williamhill_us,1,3.68,Expected Lineup,824478,False,6,L,-1.0
2026-08-17,STL@CIN G2,CIN,6.5,Under,0.859,0.752,0.106,-400,williamhill_us,1,3.68,Expected Lineup,824478,False,6,W,0.25
2026-08-17,STL@CIN G2,CIN,7.5,Over,0.087,0.172,-0.085,450,williamhill_us,1,3.68,Expected Lineup,824478,False,6,L,-1.0
2026-08-17,STL@CIN G2,CIN,7.5,Under,0.913,0.828,0.085,-700,williamhill_us,1,3.68,Expected Lineup,824478,False,6,W,0.1429
2026-08-17,STL@CIN G2,CIN,8.5,Over,0.052,0.125,-0.073,650,williamhill_us,1,3.68,Expected Lineup,824478,False,6,L,-1.0
2026-08-17,STL@CIN G2,CIN,8.5,Under,0.948,0.875,0.073,-1400,williamhill_us,1,3.68,Expected Lineup,824478,False,6,W,0.0714
