date,game,team,line,side,p_model,p_mkt,edge,price,book,nb,mean,lineup,game_pk,pay,ev,on_board,actual,settle,units
2026-08-21,ATL@MIL,ATL,1.5,Over,0.668,0.682,-0.014,-250,betrivers,1,2.85,CONF (statsapi),823746,0.4,-0.0648,False,1,L,-1.0
2026-08-21,ATL@MIL,ATL,1.5,Under,0.332,0.318,0.014,200,betrivers,1,2.85,CONF (statsapi),823746,2.0,-0.004,False,1,W,2.0
2026-08-21,ATL@MIL,ATL,2.5,Over,0.493,0.5,-0.007,-110,betmgm,4,2.85,CONF (statsapi),823746,0.9091,-0.0588,False,1,L,-1.0
2026-08-21,ATL@MIL,ATL,2.5,Under,0.507,0.5,0.007,-103,betrivers,4,2.85,CONF (statsapi),823746,0.9709,-0.0008,False,1,W,0.9709
2026-08-21,ATL@MIL,ATL,3.5,Over,0.333,0.356,-0.023,165,betrivers,1,2.85,CONF (statsapi),823746,1.65,-0.1175,False,1,L,-1.0
2026-08-21,ATL@MIL,ATL,3.5,Under,0.667,0.644,0.023,-215,betrivers,1,2.85,CONF (statsapi),823746,0.4651,-0.0228,False,1,W,0.4651
2026-08-21,ATL@MIL,MIL,2.5,Over,0.633,0.581,0.051,-150,betmgm,3,3.69,CONF (statsapi),823746,0.6667,0.055,True,2,L,-1.0
2026-08-21,ATL@MIL,MIL,2.5,Under,0.367,0.419,-0.051,128,betrivers,3,3.69,CONF (statsapi),823746,1.28,-0.1632,False,2,W,1.28
2026-08-21,ATL@MIL,MIL,3.5,Over,0.466,0.429,0.037,120,draftkings,2,3.69,CONF (statsapi),823746,1.2,0.0252,False,2,L,-1.0
2026-08-21,ATL@MIL,MIL,3.5,Under,0.534,0.571,-0.037,-152,betrivers,2,3.69,CONF (statsapi),823746,0.6579,-0.1147,False,2,W,0.6579
2026-08-21,ATL@MIL,MIL,4.5,Over,0.323,0.3,0.023,215,betrivers,1,3.69,CONF (statsapi),823746,2.15,0.0174,False,2,L,-1.0
2026-08-21,ATL@MIL,MIL,4.5,Under,0.677,0.7,-0.023,-286,betrivers,1,3.69,CONF (statsapi),823746,0.3497,-0.0863,False,2,W,0.3497
2026-08-21,STL@PHI,STL,2.5,Over,0.666,0.554,0.112,-135,draftkings,4,4.13,Expected Lineup,823420,0.7407,0.1593,True,6,W,0.7407
2026-08-21,STL@PHI,STL,2.5,Under,0.334,0.446,-0.112,123,betrivers,4,4.13,Expected Lineup,823420,1.23,-0.2552,False,6,L,-1.0
2026-08-21,STL@PHI,PHI,4.5,Over,0.455,0.536,-0.08,-122,fanduel,4,4.57,Expected Lineup,823420,0.8197,-0.172,False,7,W,0.8197
2026-08-21,STL@PHI,PHI,4.5,Under,0.545,0.464,0.08,107,betrivers,4,4.57,Expected Lineup,823420,1.07,0.1282,True,7,L,-1.0
2026-08-21,TOR@NYY,TOR,2.5,Over,0.529,0.535,-0.006,-130,fanduel,4,3.12,Expected Lineup,823510,0.7692,-0.0641,False,1,L,-1.0
2026-08-21,TOR@NYY,TOR,2.5,Under,0.471,0.465,0.006,105,draftkings,4,3.12,Expected Lineup,823510,1.05,-0.0345,False,1,W,1.05
2026-08-21,TOR@NYY,NYY,3.5,Over,0.596,0.567,0.029,-150,fanduel,3,4.6,Expected Lineup,823510,0.6667,-0.0067,False,3,L,-1.0
2026-08-21,TOR@NYY,NYY,3.5,Under,0.404,0.433,-0.029,120,draftkings,3,4.6,Expected Lineup,823510,1.2,-0.1112,False,3,W,1.2
2026-08-21,TOR@NYY,NYY,4.5,Over,0.45,0.43,0.02,120,betrivers,1,4.6,Expected Lineup,823510,1.2,-0.01,False,3,L,-1.0
2026-08-21,TOR@NYY,NYY,4.5,Under,0.55,0.57,-0.02,-152,betrivers,1,4.6,Expected Lineup,823510,0.6579,-0.0882,False,3,W,0.6579
2026-08-21,SF@BOS,SF,2.5,Over,0.658,0.572,0.086,-154,williamhill_us,2,3.98,Expected Lineup,824721,0.6494,0.0853,False,4,W,0.6494
2026-08-21,SF@BOS,SF,2.5,Under,0.342,0.428,-0.086,120,williamhill_us,2,3.98,Expected Lineup,824721,1.2,-0.2476,False,4,L,-1.0
2026-08-21,SF@BOS,SF,3.5,Over,0.506,0.429,0.077,122,fanduel,4,3.98,Expected Lineup,824721,1.22,0.1233,True,4,W,1.22
2026-08-21,SF@BOS,SF,3.5,Under,0.494,0.571,-0.077,-145,draftkings,4,3.98,Expected Lineup,824721,0.6897,-0.1653,False,4,L,-1.0
2026-08-21,SF@BOS,SF,4.5,Over,0.373,0.312,0.061,200,williamhill_us,1,3.98,Expected Lineup,824721,2.0,0.119,False,4,L,-1.0
2026-08-21,SF@BOS,SF,4.5,Under,0.627,0.688,-0.061,-275,williamhill_us,1,3.98,Expected Lineup,824721,0.3636,-0.145,False,4,W,0.3636
2026-08-21,SF@BOS,SF,5.5,Over,0.259,0.222,0.037,320,williamhill_us,1,3.98,Expected Lineup,824721,3.2,0.0878,False,4,L,-1.0
2026-08-21,SF@BOS,SF,5.5,Under,0.741,0.778,-0.037,-500,williamhill_us,1,3.98,Expected Lineup,824721,0.2,-0.1108,False,4,W,0.2
2026-08-21,SF@BOS,SF,6.5,Over,0.175,0.162,0.012,480,williamhill_us,1,3.98,Expected Lineup,824721,4.8,0.015,False,4,L,-1.0
2026-08-21,SF@BOS,SF,6.5,Under,0.825,0.838,-0.012,-800,williamhill_us,1,3.98,Expected Lineup,824721,0.125,-0.0719,False,4,W,0.125
2026-08-21,SF@BOS,SF,7.5,Over,0.112,0.117,-0.006,700,williamhill_us,1,3.98,Expected Lineup,824721,7.0,-0.104,False,4,L,-1.0
2026-08-21,SF@BOS,SF,7.5,Under,0.888,0.883,0.006,-1600,williamhill_us,1,3.98,Expected Lineup,824721,0.0625,-0.0565,False,4,W,0.0625
2026-08-21,SF@BOS,SF,8.5,Over,0.068,0.085,-0.017,1000,williamhill_us,1,3.98,Expected Lineup,824721,10.0,-0.252,False,4,L,-1.0
2026-08-21,SF@BOS,SF,8.5,Under,0.932,0.915,0.017,-4000,williamhill_us,1,3.98,Expected Lineup,824721,0.025,-0.0447,False,4,W,0.025
2026-08-21,SF@BOS,BOS,2.5,Over,0.642,0.706,-0.064,-300,williamhill_us,1,3.77,Expected Lineup,824721,0.3333,-0.144,False,6,W,0.3333
